,0,1,2,3,4
0,ABCA5,ABCC3,ACAA2,ALDH3B1,ACTC1
1,ABCC1,ACN9,ACOT4,ALOX5AP,ADAMDEC1
2,ABHD8,ACTL6B,ACTG1,APOBEC3C,AGA
3,ACADS,AFF2,ADPRH,APOL6,AMICA1
4,ADAM12,AJAP1,AKAP12,ARMCX2,ANGPT1
5,ADAM33,ANGPT1,AMIGO2,ARSK,ANGPT2
6,ADSSL1,ANK3,ANK3,BATF2,ANKRD35
7,AEBP1,ANKRD45,ANKRD9,BEST3,APOL1
8,AGBL2,APOC2,ANXA11,BLOC1S2,BAK1
9,AHR,APOD,ARSD,BST2,BATF
10,AK3L1,AQP1,ATP1A1,C10orf81,C13orf29
11,ALDH1A3,ATP10D,BCAT2,C16orf45,C17orf76
12,ALDH7A1,ATP5G3,BHMT2,C1QA,C19orf59
13,AMMECR1,BASP1,BIRC3,C6orf15,C2
14,AMPD3,BTBD6,BSCL2,C7orf16,C20orf195
15,AMT,C1orf135,C11orf63,CA2,C2orf28
16,ANKRD5,C1orf74,C13orf33,CAB39L,C5AR1
17,ANUBL1,C1QL1,C14orf50,CALCRL,C8orf4
18,ANXA2,C1S,C15orf48,CAPG,CASP4
19,AOX1,C21orf91,C1orf59,CASP10,CCR7
20,APCDD1L,C3orf15,C2orf39,CCL5,CD248
21,APITD1,C3orf52,C3orf14,CCND1,CD28
22,AQP4,C4orf39,C5orf35,CCR1,CD53
23,AQP5,C5orf25,C9orf68,CD300LF,CDH6
24,ARC,C5orf32,CA5B,CD33,CIITA
25,ARHGAP25,C6orf57,CCDC109B,CD48,CLEC5A
26,ARHGDIB,C7orf31,CCDC122,CD72,CRB2
27,ARHGEF19,C9orf25,COL5A2,CD79B,CUL7
28,ARL11,C9orf89,CRIP1,CD86,CYBA
29,ARL4C,CACNB2,CTHRC1,CD93,CYTL1
30,ARNTL2,CACNG2,CUL1,CDC42EP5,DDR2
31,ARSA,CASP6,CYB5R2,CDK4,DPP4
32,ASPHD2,CBLN2,CYP27A1,CHI3L2,DUSP5
33,ATP6V1G2,CCND1,DEDD2,CLEC2B,EMP3
34,AVIL,CD44,DSG2,CLEC4A,EXTL2
35,B3GNT8,CDCA7L,EFEMP1,COL5A1,EYA2
36,BACE2,CDO1,ELK3,COL6A1,F2RL2
37,BANK1,CDR2,ENTPD3,CSTA,F3
38,BDKRB2,CEBPD,ERBB2,CSTB,FAIM3
39,BGN,CEBPG,FAM46B,CXorf42,FAM124B
40,BLOC1S1,CEP70,FAS,DACT3,FES
41,BTG3,CHRNA9,FBXO17,DAPP1,GALNT3
42,BVES,CISH,FOSL1,DENND2D,GALNT5
43,C10orf10,CITED4,FRZB,DOK2,GBP3
44,C10orf107,CMBL,FZD6,ENG,GDF15
45,C10orf35,CNTNAP2,GCNT1,ESM1,GLRX
46,C11orf9,COL11A1,GLRX2,ESPNL,GMFG
47,C14orf106,COL6A3,GPRC5A,FAM113B,GPR128
48,C1orf135,CPA6,GSX2,FAM78A,HAVCR2
49,C1orf59,CRB1,GYPC,FAP,HGF
50,C1orf85,CRYZ,HAPLN3,FCGBP,HPS3
51,C1QTNF2,CSAG1,HEBP1,FCGR2A,HSPB6
52,C21orf63,CYFIP1,HFE,FKBP9L,IFI16
53,C2orf3,CYR61,HTRA3,FMOD,IFI35
54,C3orf64,DAP,IER5,FPR1,IFIH1
55,C4orf6,DAP,IL15RA,FXYD1,IL17B
56,C6orf141,DEPDC1,KCNK5,GAL3ST4,IL1R2
57,C6orf150,DHX58,KLF11,GALM,ISG20
58,C7orf13,DSCAML1,LDHC,GHDC,ITGB1BP1
59,C7orf23,DUSP14,LGALS3,GNA15,KCNE4
60,C7orf26,DUSP23,LMNB2,GPR17,KCNN4
61,C7orf46,EFCAB1,LRRC61,GPR17,LAMA2
62,C8orf38,EFNB2,ME1,GZMB,LIMD1
63,C8orf79,EFS,MGST2,HCLS1,LOXL3
64,C9orf167,EHD2,MMP11,HIST1H2BJ,LY96
65,C9orf40,EHD3,MMP14,HPD,LYZ
66,C9orf64,EIF5A2,MRPL41,IFI44,MAB21L1
67,C9orf95,ELL3,NMNAT3,IFITM1,MFNG
68,CA3,ELOVL4,OSTF1,IGF2BP2,MIA
69,CALD1,EMILIN2,P2RY6,IGFBP5,MMP7
70,CAP2,EPB41L3,PAM,IGFBP6,MMP9
71,CARD9,ETFA,PCDHB15,IL32,MS4A6A
72,CASP8,EYA2,PHLDA2,ITGB2,MT1G
73,CAV2,FAAH,PLA2R1,ITGB7,MYBPH
74,CBR1,FAM111A,PPCS,KCNIP3,MYD88
75,CCDC65,FAM57B,PRSS23,LAIR1,NLRP12
76,CCDC8,FAM82B,RAB34,LAPTM5,NNMT
77,CCDC89,FBLN5,RAB36,LEFTY2,NOD2
78,CCNA1,FHOD1,RARRES2,LIF,OAS1
79,CCNF,FLNB,RBM24,LPXN,OR51E2
80,CD109,FOXD1,RBP1,LSP1,PGAM2
81,CD2,FZD7,RFTN1,MAGEC2,PHLDA2
82,CD4,GALNT14,RGN,MAGEE2,PITX1
