,cluster_0,cluster_1,cluster_2
cellularity_Median,-0.7381943598289478,0.0,0.0
cellularity_Inter_Quartile_Range,0.0,0.0,0.0
cellularity_Robust_Skewness,0.0,0.0,0.0
cellularity_Robust_Kurtosis,0.0,0.0,0.0
cell_voronoi_area_Median,0.0,0.0,0.0
cell_voronoi_area_Inter_Quartile_Range,0.0,0.0,0.0
cell_voronoi_area_Robust_Skewness,-1.5592619814631132,-1.0272585406681274,0.0
cell_voronoi_area_Robust_Kurtosis,1.4942606844496988,0.0,0.0
cytoplasm_background_intensity_mean_Median,0.0,0.0,0.0
cytoplasm_background_intensity_mean_Inter_Quartile_Range,0.0,-0.6560301294925314,0.0
cytoplasm_background_intensity_mean_Robust_Skewness,0.0,0.0,0.0
cytoplasm_background_intensity_mean_Robust_Kurtosis,0.0,-0.04497291322757691,0.0
cytoplasm_background_intensity_sd_Median,0.0,0.0,0.0
cytoplasm_background_intensity_sd_Inter_Quartile_Range,-1.5740739115671434,0.0,0.0
cytoplasm_background_intensity_sd_Robust_Skewness,0.0,0.0,0.0
cytoplasm_background_intensity_sd_Robust_Kurtosis,0.0,0.0,0.0
cytoplasm_contrast_mean_Median,0.0,0.0,0.0
cytoplasm_contrast_mean_Inter_Quartile_Range,1.6048641919003945,0.1636427612464545,0.0
cytoplasm_contrast_mean_Robust_Skewness,0.0,0.0,0.0
cytoplasm_contrast_mean_Robust_Kurtosis,-2.787549713701923,0.0,0.0
cytoplasm_gradient_mean_Median,0.0,0.0,0.0
cytoplasm_gradient_mean_Inter_Quartile_Range,-1.6571972773787695,-0.8229752199862852,0.0
cytoplasm_gradient_mean_Robust_Skewness,0.0,0.0,-0.5545784525279437
cytoplasm_gradient_mean_Robust_Kurtosis,0.0,1.3587374223325326,0.0
cytoplasm_gradient_sd_Median,0.0,0.0,0.0
cytoplasm_gradient_sd_Inter_Quartile_Range,0.0,0.0,0.0
cytoplasm_gradient_sd_Robust_Skewness,8.31298669673324,0.0,0.0
cytoplasm_gradient_sd_Robust_Kurtosis,-3.222732440949494,0.8834708432538875,0.520667771647764
cytoplasm_intensity_mean_Median,0.006599864071793734,0.0,0.0
cytoplasm_intensity_mean_Inter_Quartile_Range,0.0,0.0,0.0
cytoplasm_intensity_mean_Robust_Skewness,0.0,0.0,0.0
cytoplasm_intensity_mean_Robust_Kurtosis,0.0,0.0,0.0
cytoplasm_intensity_sd_Median,1.3812104338279017,1.5143257573923599,2.7460713677261013
cytoplasm_intensity_sd_Inter_Quartile_Range,-2.051237801366972,0.0,0.0
cytoplasm_intensity_sd_Robust_Skewness,0.8563838729611345,0.0,0.0
cytoplasm_intensity_sd_Robust_Kurtosis,0.9407029574566661,0.0,0.0
cytoplasm_intensity_total_Median,0.0,0.0,0.0
cytoplasm_intensity_total_Inter_Quartile_Range,0.0,0.0,0.0
cytoplasm_intensity_total_Robust_Skewness,0.0,0.0,0.0
cytoplasm_intensity_total_Robust_Kurtosis,-2.5355847543320076,0.0,0.0
edge_length_Median,0.0,0.0,0.0
edge_length_Inter_Quartile_Range,0.0,0.0,0.0
edge_length_Robust_Skewness,-1.4709194335055404,-2.802681319600402,-4.113371374016391
edge_length_Robust_Kurtosis,-1.0385013386784734,0.0,0.0
nucleus_area_Median,0.0,0.0,0.0
nucleus_area_Inter_Quartile_Range,0.0,0.0,0.0
nucleus_area_Robust_Skewness,4.742159484097692,0.0,2.1859515379239105
nucleus_area_Robust_Kurtosis,2.3309646758528735,2.989690714976628,1.5373084310456129
nucleus_aspect_ratio_Median,0.0,0.0,0.0
nucleus_aspect_ratio_Inter_Quartile_Range,5.259400321423392,-1.132411182892117,-0.21070134076710034
nucleus_aspect_ratio_Robust_Skewness,-1.5935275593751344,0.0,-0.5464716087220407
nucleus_aspect_ratio_Robust_Kurtosis,0.0,0.0,0.0
nucleus_background_intensity_mean_Median,0.01115515628150679,0.0,0.0
nucleus_background_intensity_mean_Inter_Quartile_Range,3.056438862472466,0.0,0.0
nucleus_background_intensity_mean_Robust_Skewness,0.0,2.0179147365329984,0.0
