,cluster_0,cluster_1,cluster_2
cellularity_Median,0.009167111874248771,0.016030245746691874,0.0
cellularity_Inter_Quartile_Range,0.0023296498122646237,0.0,0.02731176638992271
cellularity_Robust_Skewness,0.0016544193064711432,0.0,0.0
cellularity_Robust_Kurtosis,0.0018221504785359889,0.0,0.0
cell_voronoi_area_Median,0.008800295972188378,0.004984326018808816,0.0019979490438500466
cell_voronoi_area_Inter_Quartile_Range,0.007719260436304814,0.0,0.0
cell_voronoi_area_Robust_Skewness,0.008990942538970682,0.0,0.0
cell_voronoi_area_Robust_Kurtosis,0.00581869414792565,0.0,0.0
cytoplasm_background_intensity_mean_Median,0.0024194204900451336,0.0,0.0
cytoplasm_background_intensity_mean_Inter_Quartile_Range,0.0019503154347977674,0.0,0.0
cytoplasm_background_intensity_mean_Robust_Skewness,0.002307233968923737,0.0,0.02611244000537207
cytoplasm_background_intensity_mean_Robust_Kurtosis,0.00478108531859834,0.0,0.0
cytoplasm_background_intensity_sd_Median,0.007467051804189322,0.0,0.03598710858775542
cytoplasm_background_intensity_sd_Inter_Quartile_Range,0.0012302481359434416,0.0,0.0
cytoplasm_background_intensity_sd_Robust_Skewness,0.010642503526780683,0.0,0.0
cytoplasm_background_intensity_sd_Robust_Kurtosis,0.003791669135332272,0.0,0.0
cytoplasm_contrast_mean_Median,0.009848023944082842,0.0,0.01251453636494391
cytoplasm_contrast_mean_Inter_Quartile_Range,0.011307061067300424,0.0,0.013625926178735658
cytoplasm_contrast_mean_Robust_Skewness,0.008576359612511204,0.0,0.0
cytoplasm_contrast_mean_Robust_Kurtosis,0.010209363530197295,0.014495869894249497,0.0
cytoplasm_gradient_mean_Median,0.0009006297387768694,0.0,0.0
cytoplasm_gradient_mean_Inter_Quartile_Range,0.003668303814647345,0.019157133188639177,0.011944623991255742
cytoplasm_gradient_mean_Robust_Skewness,0.007558502367821661,0.0,0.0
cytoplasm_gradient_mean_Robust_Kurtosis,0.0038233164953104205,0.08617855897938394,0.0
cytoplasm_gradient_sd_Median,0.005472113114365093,0.016258605391181943,0.0
cytoplasm_gradient_sd_Inter_Quartile_Range,0.0017881841542008738,0.0,0.0
cytoplasm_gradient_sd_Robust_Skewness,0.0016845090667604785,0.0,0.0
cytoplasm_gradient_sd_Robust_Kurtosis,0.0027097733300502163,0.0,0.0
cytoplasm_intensity_mean_Median,0.001082269674164677,0.0,0.0
cytoplasm_intensity_mean_Inter_Quartile_Range,0.0022613164206545812,0.0,0.0
cytoplasm_intensity_mean_Robust_Skewness,0.018302996967849712,0.005517824721182224,0.0
cytoplasm_intensity_mean_Robust_Kurtosis,0.0013221734043837717,0.0,0.0
cytoplasm_intensity_sd_Median,0.0058032140212502005,0.03521225832208512,0.16307226778149264
cytoplasm_intensity_sd_Inter_Quartile_Range,0.004372199741425819,0.0,0.0
cytoplasm_intensity_sd_Robust_Skewness,0.012454132042452763,0.0,0.0
cytoplasm_intensity_sd_Robust_Kurtosis,0.009984851401835745,0.0,0.0
cytoplasm_intensity_total_Median,0.003538091018272122,0.0,0.0
cytoplasm_intensity_total_Inter_Quartile_Range,0.0026950356744847924,0.0,0.0
cytoplasm_intensity_total_Robust_Skewness,0.0036551816769660895,0.0,0.0
cytoplasm_intensity_total_Robust_Kurtosis,0.005746522709435956,0.0,0.0
edge_length_Median,0.006879356229080088,0.0,0.0
edge_length_Inter_Quartile_Range,0.009166340458436353,0.07304104653439034,0.0
edge_length_Robust_Skewness,0.004014143532862575,0.008258005384659454,0.0
edge_length_Robust_Kurtosis,0.010413183043841668,0.005178815712331445,0.0
nucleus_area_Median,0.0007799400738628523,0.0,0.0
nucleus_area_Inter_Quartile_Range,0.007001441723467875,0.0,0.0
nucleus_area_Robust_Skewness,0.0026147319154923116,0.0,0.0
