,cluster_0,cluster_1,cluster_2
cellularity_Median,0.0,0.0,0.0
cellularity_Inter_Quartile_Range,0.0,0.0,3.308691301588983
cellularity_Robust_Skewness,0.02921916009298549,0.0,0.6815320163098385
cellularity_Robust_Kurtosis,0.0,0.0,0.0
cell_voronoi_area_Median,0.0,0.32611854191239836,0.0
cell_voronoi_area_Inter_Quartile_Range,0.0,0.0,-2.927571924864563
cell_voronoi_area_Robust_Skewness,0.0,0.0,0.0
cell_voronoi_area_Robust_Kurtosis,0.0,0.0,2.8544909663868494
cytoplasm_background_intensity_mean_Median,0.0,0.0,0.0
cytoplasm_background_intensity_mean_Inter_Quartile_Range,0.0,-0.32797501683950225,0.0
cytoplasm_background_intensity_mean_Robust_Skewness,0.0,0.0,0.0
cytoplasm_background_intensity_mean_Robust_Kurtosis,0.0,0.0,-0.7447316345106081
cytoplasm_background_intensity_sd_Median,0.0,0.0,0.0
cytoplasm_background_intensity_sd_Inter_Quartile_Range,0.0,0.0,0.0
cytoplasm_background_intensity_sd_Robust_Skewness,0.0,0.0,0.29320888597988976
cytoplasm_background_intensity_sd_Robust_Kurtosis,0.0,0.0,0.0
cytoplasm_contrast_mean_Median,0.0,0.0,0.0
cytoplasm_contrast_mean_Inter_Quartile_Range,0.0,0.0,0.0
cytoplasm_contrast_mean_Robust_Skewness,0.0,0.0,0.0
cytoplasm_contrast_mean_Robust_Kurtosis,0.0,-0.5737153867304815,-1.8945221047448932
cytoplasm_gradient_mean_Median,0.8683794488823307,0.290329500943503,0.0
cytoplasm_gradient_mean_Inter_Quartile_Range,0.0,0.0,-1.1002787132546623
cytoplasm_gradient_mean_Robust_Skewness,-0.24725684136216383,0.0,3.6796742739028625
cytoplasm_gradient_mean_Robust_Kurtosis,0.0,0.0,-1.0214513548243322
cytoplasm_gradient_sd_Median,0.0,0.0,0.0
cytoplasm_gradient_sd_Inter_Quartile_Range,0.0,0.0,0.0
cytoplasm_gradient_sd_Robust_Skewness,0.0,0.0,4.6731715916797345
cytoplasm_gradient_sd_Robust_Kurtosis,0.0,0.0,-3.0032720024455117
cytoplasm_intensity_mean_Median,0.0,0.0,0.0
cytoplasm_intensity_mean_Inter_Quartile_Range,0.0,0.0,0.0
cytoplasm_intensity_mean_Robust_Skewness,0.0,0.0,0.6778494395579472
cytoplasm_intensity_mean_Robust_Kurtosis,0.0,0.0,0.0
cytoplasm_intensity_sd_Median,0.0,0.0,2.029143646392018
cytoplasm_intensity_sd_Inter_Quartile_Range,0.0,0.0,0.0
cytoplasm_intensity_sd_Robust_Skewness,-0.15419124829133174,-1.9673307924419243,0.21452126188333348
cytoplasm_intensity_sd_Robust_Kurtosis,1.1749657903580417,0.2854763874643107,3.465522840146794
cytoplasm_intensity_total_Median,0.0,0.0,0.0
cytoplasm_intensity_total_Inter_Quartile_Range,-1.6384844678967911,0.0,0.0
cytoplasm_intensity_total_Robust_Skewness,0.0,0.0,0.7519631644618475
cytoplasm_intensity_total_Robust_Kurtosis,0.0,0.0,0.0
edge_length_Median,1.612877621852903,0.0,0.0
edge_length_Inter_Quartile_Range,0.0,0.0,0.0
edge_length_Robust_Skewness,-3.346249208354778,-2.925009132304176,0.0
edge_length_Robust_Kurtosis,0.0,0.0,0.13521805946334237
nucleus_area_Median,0.0,0.0,0.0
nucleus_area_Inter_Quartile_Range,0.0,0.0,0.0
nucleus_area_Robust_Skewness,4.274418986679167,2.590238229788556,0.4713745151793687
nucleus_area_Robust_Kurtosis,0.8489306275344584,1.402894528318225,0.0
nucleus_aspect_ratio_Median,0.21696006395908932,0.15076318696633828,0.0
nucleus_aspect_ratio_Inter_Quartile_Range,0.0,-0.22105504136709528,0.053921384699361925
nucleus_aspect_ratio_Robust_Skewness,0.0,-0.12815880596692328,0.19950388748510073
nucleus_aspect_ratio_Robust_Kurtosis,1.1108671586571268,0.15917575549343713,-0.9062346285490226
nucleus_background_intensity_mean_Median,0.0,0.0,0.0
nucleus_background_intensity_mean_Inter_Quartile_Range,0.0,0.0,0.0
nucleus_background_intensity_mean_Robust_Skewness,0.0,0.0,-1.9935532412037336
nucleus_background_intensity_mean_Robust_Kurtosis,0.0,0.0,0.0
nucleus_background_intensity_sd_Median,0.0,0.0,5.975477593917381
nucleus_background_intensity_sd_Inter_Quartile_Range,0.0,0.0,0.0
nucleus_background_intensity_sd_Robust_Skewness,0.0,0.0,0.0
nucleus_background_intensity_sd_Robust_Kurtosis,-1.181836689345804,-0.06581388613111555,0.0
nucleus_bending_energy_s1_mean_Median,0.0,0.0,0.0
nucleus_bending_energy_s1_mean_Inter_Quartile_Range,0.0,0.0,0.0
nucleus_bending_energy_s1_mean_Robust_Skewness,0.0,0.0,0.0
nucleus_bending_energy_s1_mean_Robust_Kurtosis,0.45684926640592943,0.8804464345924932,0.0
nucleus_contrast_mean_Median,0.0,0.0,0.0
nucleus_contrast_mean_Inter_Quartile_Range,0.0,0.0,-3.381563398404982
nucleus_contrast_mean_Robust_Skewness,0.0,0.0,0.0
nucleus_contrast_mean_Robust_Kurtosis,-3.0542480216643217,-1.9303224265997179,0.0
nucleus_curvature_s1_sd_Median,-0.9356257747761112,-1.3531773608235373,0.0
nucleus_curvature_s1_sd_Inter_Quartile_Range,0.0,0.0,0.039768725156100124
nucleus_curvature_s1_sd_Robust_Skewness,0.5959447827320562,0.0,-2.0844749821795223
nucleus_curvature_s1_sd_Robust_Kurtosis,0.0,0.0,3.434253250965649
nucleus_deviation_from_polygon_convexity_Median,-4.776335113927182,-4.633229089814526,0.7076255681029594
nucleus_deviation_from_polygon_convexity_Inter_Quartile_Range,3.388116685338606,3.413855335238683,-0.6064168477178769
nucleus_gradient_mean_Median,0.0,0.0,0.0
nucleus_gradient_mean_Inter_Quartile_Range,0.0,0.0,0.0
nucleus_gradient_mean_Robust_Skewness,-2.4465742156266086,-0.7780029136077606,0.0
nucleus_gradient_mean_Robust_Kurtosis,0.0,0.0,-2.2775742671790464
nucleus_gradient_sd_Median,0.0,0.0,0.0
nucleus_gradient_sd_Inter_Quartile_Range,0.0,0.0,0.0
nucleus_gradient_sd_Robust_Skewness,0.0,0.0,0.0
nucleus_gradient_sd_Robust_Kurtosis,0.0,0.0,0.0
nucleus_intensity_mean_Median,0.0,0.0,0.0
nucleus_intensity_mean_Inter_Quartile_Range,-0.12509191374314657,0.0,0.7815728156241745
nucleus_intensity_mean_Robust_Skewness,0.0,0.0,1.2276694595142714
nucleus_intensity_mean_Robust_Kurtosis,0.0,0.2229288836067929,-1.0876156110031603
nucleus_intensity_sd_Median,0.0,0.0,0.0
nucleus_intensity_sd_Inter_Quartile_Range,-0.3269157438859097,-1.1208217484553955,0.0
nucleus_intensity_sd_Robust_Skewness,0.5187274291365296,1.3661898208954435,0.3550864132645411
nucleus_intensity_sd_Robust_Kurtosis,0.0,0.0,-1.845471342786083
nucleus_intensity_total_Median,0.0,0.0,0.0
nucleus_intensity_total_Inter_Quartile_Range,0.0,0.0,-2.4469796145879776
nucleus_intensity_total_Robust_Skewness,0.0,-0.6496435631929895,0.0
nucleus_intensity_total_Robust_Kurtosis,0.0,0.0,-1.894029636241485
nucleus_major_axis_Median,0.0,0.0,0.0
nucleus_major_axis_Inter_Quartile_Range,-0.4893113427526463,0.0,0.0
nucleus_major_axis_Robust_Skewness,-0.6046691122533365,0.0,2.551166241336284
nucleus_major_axis_Robust_Kurtosis,0.0,-0.2230311114645714,-0.06150637180550519
nucleus_max_curvature_s1_Median,0.0,0.0,0.0
nucleus_max_curvature_s1_Inter_Quartile_Range,0.0,0.0,-0.4293920004787667
nucleus_max_curvature_s1_Robust_Skewness,0.0,0.0,0.0
nucleus_max_curvature_s1_Robust_Kurtosis,0.0,0.0,0.0
nucleus_minor_axis_Median,0.0,0.0,-1.6843555733951996
nucleus_minor_axis_Inter_Quartile_Range,0.0,0.0,0.0
nucleus_minor_axis_Robust_Skewness,1.2704727108409597,1.832628794857942,0.758710667872111
nucleus_minor_axis_Robust_Kurtosis,0.9378906915275139,0.0,-1.6040137213455055
nucleus_orientation_Median,0.0,0.0,0.0
nucleus_orientation_Inter_Quartile_Range,0.0,0.0,0.0
nucleus_orientation_Robust_Skewness,0.0,0.0,-1.2418310799938255
nucleus_orientation_Robust_Kurtosis,0.0,0.0,0.0
nucleus_perimeter_Median,0.0,0.0,0.0
nucleus_perimeter_Inter_Quartile_Range,0.0,0.0,0.0
nucleus_perimeter_Robust_Skewness,-2.2523331223993335,-2.0372255504486136,-0.9807564975227229
nucleus_perimeter_Robust_Kurtosis,0.0,0.0,0.0
nucleus_texture_feature_0_mean_Median,0.0,0.0,0.0
nucleus_texture_feature_0_mean_Inter_Quartile_Range,0.0,-0.22644476368745498,0.0
nucleus_texture_feature_0_mean_Robust_Skewness,0.0,0.0,-3.198494989988479
