,cluster_0,cluster_1,cluster_2
cellularity_Median,0.0,0.0,0.0
cellularity_Inter_Quartile_Range,0.0,0.0,0.0
cellularity_Robust_Skewness,0.0,0.0,0.0
cellularity_Robust_Kurtosis,0.0,0.0,0.0
cell_voronoi_area_Median,0.0,0.0,0.0
cell_voronoi_area_Inter_Quartile_Range,0.0,0.0,0.0
cell_voronoi_area_Robust_Skewness,0.0,0.0,0.0
cell_voronoi_area_Robust_Kurtosis,0.0,0.0,0.0
cytoplasm_background_intensity_mean_Median,0.0,0.0,0.0
cytoplasm_background_intensity_mean_Inter_Quartile_Range,0.0,0.0,0.0
cytoplasm_background_intensity_mean_Robust_Skewness,0.0,0.0,0.0
cytoplasm_background_intensity_mean_Robust_Kurtosis,0.0,0.0,0.0
cytoplasm_background_intensity_sd_Median,0.0,0.0,0.0
cytoplasm_background_intensity_sd_Inter_Quartile_Range,0.0,0.0,0.0
cytoplasm_background_intensity_sd_Robust_Skewness,0.0,0.0,0.0
cytoplasm_background_intensity_sd_Robust_Kurtosis,0.0,0.0,0.0
cytoplasm_contrast_mean_Median,0.0,0.0,0.0
cytoplasm_contrast_mean_Inter_Quartile_Range,0.0,0.0,0.0
cytoplasm_contrast_mean_Robust_Skewness,0.0,0.0,0.0
cytoplasm_contrast_mean_Robust_Kurtosis,0.0,0.0,0.0
cytoplasm_gradient_mean_Median,0.0,0.0,0.0
cytoplasm_gradient_mean_Inter_Quartile_Range,0.0,0.0,0.0
cytoplasm_gradient_mean_Robust_Skewness,0.0,0.0,0.0
cytoplasm_gradient_mean_Robust_Kurtosis,0.0,0.0,0.0
cytoplasm_gradient_sd_Median,0.0,0.0,0.0
cytoplasm_gradient_sd_Inter_Quartile_Range,0.0,0.0,0.0
cytoplasm_gradient_sd_Robust_Skewness,0.0,0.0,0.0
cytoplasm_gradient_sd_Robust_Kurtosis,0.0,0.0,0.0
cytoplasm_intensity_mean_Median,0.0,0.0,0.0
cytoplasm_intensity_mean_Inter_Quartile_Range,0.0,0.0,0.0
cytoplasm_intensity_mean_Robust_Skewness,0.0,0.0,0.0
cytoplasm_intensity_mean_Robust_Kurtosis,0.0,0.0,0.0
cytoplasm_intensity_sd_Median,0.0,0.0,0.0
cytoplasm_intensity_sd_Inter_Quartile_Range,0.0,0.0,0.0
cytoplasm_intensity_sd_Robust_Skewness,0.0,0.0,0.0
cytoplasm_intensity_sd_Robust_Kurtosis,0.0,0.0,0.0
cytoplasm_intensity_total_Median,0.0,0.0,0.0
cytoplasm_intensity_total_Inter_Quartile_Range,0.0,0.0,0.0
cytoplasm_intensity_total_Robust_Skewness,0.0,0.0,0.0
cytoplasm_intensity_total_Robust_Kurtosis,0.0,0.0,0.0
edge_length_Median,0.0,0.0,0.0
edge_length_Inter_Quartile_Range,0.0,0.0,0.0
edge_length_Robust_Skewness,0.0,0.0,0.0
edge_length_Robust_Kurtosis,0.0,0.0,0.0
nucleus_area_Median,0.0,0.0,0.0
nucleus_area_Inter_Quartile_Range,0.0,0.0,0.0
nucleus_area_Robust_Skewness,0.0,0.0,0.0
nucleus_area_Robust_Kurtosis,0.0,0.0,0.0
nucleus_aspect_ratio_Median,0.0,0.0,0.0
