,cluster_0,cluster_1,cluster_2
cellularity_Median,0.0014387473223881177,0.014193893947509372,0.00580608386427348
cellularity_Inter_Quartile_Range,0.006211024827519206,0.0,0.003165314240811342
cellularity_Robust_Skewness,0.00031240570225626846,0.0,0.004325606960778452
cellularity_Robust_Kurtosis,0.0036773626662137513,0.0,0.002732622269718358
cell_voronoi_area_Median,0.003270505045021441,0.0,0.006015984240865791
cell_voronoi_area_Inter_Quartile_Range,0.002090094342045503,0.0,0.019132336170270804
cell_voronoi_area_Robust_Skewness,0.004093343635816892,0.0,0.002874993681415954
cell_voronoi_area_Robust_Kurtosis,0.0021299113343130724,0.022585227272727285,0.010213765567087094
cytoplasm_background_intensity_mean_Median,0.00350931762385023,0.0,0.0034702517077126282
cytoplasm_background_intensity_mean_Inter_Quartile_Range,0.002926678502253394,0.0,0.005614779953894841
cytoplasm_background_intensity_mean_Robust_Skewness,0.003952235019709617,0.0,0.0031976514719653723
cytoplasm_background_intensity_mean_Robust_Kurtosis,0.0023415451377935704,0.0,0.005329857542840777
cytoplasm_background_intensity_sd_Median,0.01483203744415372,0.034145030562713494,0.006878280892617363
cytoplasm_background_intensity_sd_Inter_Quartile_Range,0.006879124224681225,0.0,0.003827934144535968
cytoplasm_background_intensity_sd_Robust_Skewness,0.006471888123411618,0.05963346259989764,0.0060554359314689615
cytoplasm_background_intensity_sd_Robust_Kurtosis,0.001351465274576122,0.0,0.00809762816012491
cytoplasm_contrast_mean_Median,0.019225359001023488,0.03028614395780973,0.015638357161109524
cytoplasm_contrast_mean_Inter_Quartile_Range,0.01864216667823513,0.0,0.004715032927387985
cytoplasm_contrast_mean_Robust_Skewness,0.007214170130066978,0.009830497728093267,0.01742197388922345
cytoplasm_contrast_mean_Robust_Kurtosis,0.0045163746436364845,0.0,0.004545268518915351
cytoplasm_gradient_mean_Median,0.014838014893176783,0.009246270031039928,0.004211051488580644
cytoplasm_gradient_mean_Inter_Quartile_Range,0.002812501784585628,0.006245313336904132,0.0024692516807851245
cytoplasm_gradient_mean_Robust_Skewness,0.004209018733037057,0.0,0.0032383573496201404
cytoplasm_gradient_mean_Robust_Kurtosis,0.0015228705494595813,0.022924344799344798,0.0038341464258401345
cytoplasm_gradient_sd_Median,0.018337845944455207,0.029359256541941825,0.007781338186367003
cytoplasm_gradient_sd_Inter_Quartile_Range,0.004136028642448443,0.0,0.002351210851435907
cytoplasm_gradient_sd_Robust_Skewness,0.0016656125252549163,0.0,0.0041087805783641355
cytoplasm_gradient_sd_Robust_Kurtosis,0.0019440479239678627,0.0,0.0030915878113048248
cytoplasm_intensity_mean_Median,0.002363603387344695,0.0,0.002985808595370546
cytoplasm_intensity_mean_Inter_Quartile_Range,0.004835666684299461,0.0,0.005664961490923859
cytoplasm_intensity_mean_Robust_Skewness,0.007961609762281314,0.0,0.006195826681832867
cytoplasm_intensity_mean_Robust_Kurtosis,0.004958820447907581,0.021902775309335435,0.004782309043966205
cytoplasm_intensity_sd_Median,0.018051423784883343,0.0,0.006318602206040588
cytoplasm_intensity_sd_Inter_Quartile_Range,0.003608485206081258,0.0,0.004348131946600145
cytoplasm_intensity_sd_Robust_Skewness,0.013420311539194638,0.05554977153103128,0.0028272619018433784
cytoplasm_intensity_sd_Robust_Kurtosis,0.0034519708981556726,0.003734586024662362,0.01135868605578492
cytoplasm_intensity_total_Median,0.0046137118445773615,0.0,0.002359555053729926
cytoplasm_intensity_total_Inter_Quartile_Range,0.0036130605257951726,0.0,0.00339344495186783
cytoplasm_intensity_total_Robust_Skewness,0.0008424379088385715,0.0,0.012943715601623877
cytoplasm_intensity_total_Robust_Kurtosis,0.008843584194765098,0.0,0.010041720631422373
edge_length_Median,0.004701170830580421,0.0,0.006338852170407169
edge_length_Inter_Quartile_Range,0.002749093757284249,0.0,0.00811028425230961
edge_length_Robust_Skewness,0.00909659607134894,0.0,0.009728512933103948
edge_length_Robust_Kurtosis,0.004907625364538474,0.025549009105516874,0.004484499777168294
nucleus_area_Median,0.003320489633358586,0.024843750000000005,0.0051250246146219754
nucleus_area_Inter_Quartile_Range,0.004019012219002127,0.05807180959582499,0.005916450090602814
nucleus_area_Robust_Skewness,0.007202162112980284,0.0,0.003202259143991435
nucleus_area_Robust_Kurtosis,0.013996913399680871,0.003630847523977294,0.004608548788747713
nucleus_aspect_ratio_Median,0.008810218556917384,0.0,0.0056257180894985995
nucleus_aspect_ratio_Inter_Quartile_Range,0.008766942846891177,0.0,0.009448278470432715
nucleus_aspect_ratio_Robust_Skewness,0.00905204244261407,0.04073692131478412,0.0044244898339754965
nucleus_aspect_ratio_Robust_Kurtosis,0.006930558622990318,0.0,0.005226128003103779
nucleus_background_intensity_mean_Median,0.0029435249101267234,0.004185679185679188,0.004204415294496829
nucleus_background_intensity_mean_Inter_Quartile_Range,0.006204194962542796,0.012333131946103155,0.0041297739001758356
nucleus_background_intensity_mean_Robust_Skewness,0.00442057856573776,0.0,0.004396613056463837
nucleus_background_intensity_mean_Robust_Kurtosis,0.005110412342444143,0.0,0.011596056117685067
nucleus_background_intensity_sd_Median,0.021283517248899354,0.0,0.013426037093034339
