,accuracy,precision,recall,f1score,AUC,AP
ABCA5---Cluster1,0.6388888888888888,0.6041666666666667,0.600334448160535,0.6017021276595745,0.5,0.4209765237579639
ABCC1,0.5833333333333334,0.5416666666666666,0.540133779264214,0.5404255319148936,0.6153846153846154,0.6100175323252246
ACAA2,0.7222222222222222,0.5,0.5,0.5,0.5166666666666667,0.3374877810361681
ACN9---Cluster1,0.6111111111111112,0.5904761904761905,0.5953177257525084,0.5909090909090909,0.6053511705685619,0.4765478252713
ACTG1,0.5,0.487012987012987,0.4875,0.48571428571428565,0.43124999999999997,0.43410288367818795
ACTL6B---Cluster1,0.4722222222222222,0.4512987012987013,0.45238095238095233,0.4514835605453087,0.2952380952380952,0.47876979308365053
ADAM12---Cluster1,0.7777777777777778,0.5911330049261083,0.6193548387096774,0.6,0.7290322580645161,0.34444444444444444
ADSSL1---Cluster1,0.6666666666666666,0.5538461538461539,0.5625,0.5555555555555556,0.5178571428571428,0.2540792257500515
AEBP1---Cluster1,0.5277777777777778,0.5277777777777778,0.5327272727272727,0.5092221331194867,0.5236363636363637,0.3357529772794474
AFF2---Cluster1,0.5555555555555556,0.5555555555555556,0.5692307692307692,0.5324675324675324,0.5076923076923077,0.2921147591725324
AGA,0.6666666666666666,0.5178571428571428,0.5178571428571428,0.5178571428571428,0.3526785714285714,0.30290957145321473
AHR---Cluster2,0.4166666666666667,0.4431438127090301,0.44480519480519476,0.4162162162162162,0.461038961038961,0.6332684377063232
AJAP1---Cluster1,0.3611111111111111,0.3544891640866873,0.3474025974025974,0.3485444531864674,0.3766233766233766,0.3285021422594937
ALOX5AP,0.4722222222222222,0.45317725752508364,0.45625,0.45148356054530875,0.50625,0.5389120958429685
AMT---Cluster1,0.5555555555555556,0.45150501672240806,0.40645161290322585,0.40740740740740744,0.44516129032258067,0.2124076354679803
ANK3---Cluster1,0.5277777777777778,0.4818181818181818,0.48376623376623373,0.4791489361702128,0.551948051948052,0.7300439519255919
