,accuracy,precision,recall,f1score,AUC,AP
ABCA5---Cluster1,0.5555555555555556,0.5555555555555556,0.55625,0.5541795665634675,0.546875,0.6556674882294262
ABCC1,0.7777777777777778,0.78125,0.7777777777777778,0.7770897832817336,0.8425925925925927,0.7566512242105639
ACAA2,0.7777777777777778,0.5911330049261083,0.6193548387096774,0.6,0.4903225806451613,0.3490147783251232
ACN9---Cluster1,0.6111111111111112,0.4876847290640394,0.49090909090909096,0.4814814814814815,0.4763636363636364,0.33900672493241185
ACTG1,0.5,0.4984520123839009,0.4984520123839009,0.4984520123839009,0.6346749226006192,0.6762159529189373
ACTL6B---Cluster1,0.4444444444444444,0.4285714285714286,0.43125,0.4285714285714286,0.54375,0.6131235538764679
ADAM12---Cluster1,0.7777777777777778,0.7032258064516128,0.6296296296296297,0.645320197044335,0.7366255144032922,0.5017737046509425
ADSSL1---Cluster1,0.6666666666666666,0.4666666666666667,0.4732142857142857,0.46798029556650245,0.5892857142857143,0.3685599570680216
AEBP1---Cluster1,0.6666666666666666,0.36363636363636365,0.4444444444444444,0.39999999999999997,0.4403292181069959,0.23591566116889479
AFF2---Cluster1,0.4444444444444444,0.4444444444444445,0.4375,0.4285714285714286,0.4618055555555556,0.3989049934861955
AGA,0.6388888888888888,0.39655172413793105,0.38333333333333336,0.38983050847457634,0.4888888888888889,0.17804931030737484
AHR---Cluster2,0.5,0.474025974025974,0.474025974025974,0.474025974025974,0.40909090909090906,0.5567485614861212
AJAP1---Cluster1,0.5277777777777778,0.5285714285714286,0.5277777777777778,0.5244755244755245,0.5185185185185185,0.502809779362894
ALOX5AP,0.6944444444444444,0.6904761904761905,0.6875,0.6884343036978756,0.70625,0.756127273626811
AMT---Cluster1,0.5555555555555556,0.4444444444444444,0.4509090909090909,0.4461538461538461,0.38181818181818183,0.27405680770444507
ANK3---Cluster1,0.5555555555555556,0.5416666666666667,0.5375,0.5324675324675325,0.484375,0.5171356782143942
ANKRD5---Cluster1,0.5555555555555556,0.5351170568561874,0.5333333333333333,0.5324675324675325,0.6444444444444445,0.6079890940419499
ANXA11,0.5555555555555556,0.5781818181818181,0.56656346749226,0.5428571428571429,0.5975232198142415,0.5821828261573332
ANXA2---Cluster1,0.75,0.6280788177339901,0.6160714285714286,0.6210526315789473,0.7678571428571428,0.5378676470588235
APCDD1L---Cluster1,0.5,0.4860681114551083,0.48148148148148145,0.4581939799331104,0.5102880658436214,0.7172399049506657
APOL6---Cluster1,0.8333333333333334,0.7142857142857143,0.7666666666666666,0.7339901477832513,0.7722222222222223,0.6155228758169934
ARC,0.5555555555555556,0.5272727272727272,0.5238095238095238,0.5183946488294314,0.6317460317460317,0.526652903481753
ARHGAP25---Cluster1,0.6944444444444444,0.6696428571428572,0.6270903010033445,0.6302521008403361,0.6688963210702341,0.5806974754968406
ARHGDIB---Cluster1,0.6944444444444444,0.6714285714285715,0.6875,0.674074074074074,0.7222222222222222,0.6097729431062765
ARMCX2,0.3333333333333333,0.3333333333333333,0.33746130030959753,0.3312693498452012,0.4055727554179567,0.46887460377157747
ARSD,0.5277777777777778,0.5277777777777778,0.5278637770897833,0.5274131274131274,0.5108359133126935,0.5250066316706952
ARSK,0.7222222222222222,0.6650246305418719,0.6218181818181818,0.6296296296296295,0.5236363636363637,0.5246773499405079
ASPHD2---Cluster1,0.6388888888888888,0.6388888888888888,0.6428571428571428,0.6363636363636362,0.6063492063492064,0.4816391566236768
ATP1A1,0.4444444444444444,0.44272445820433437,0.44272445820433437,0.44272445820433437,0.5170278637770898,0.4765760968764923
