,accuracy,precision,recall,f1score,AUC,AP
ABCA5---Cluster1,0.5833333333333334,0.59375,0.5952380952380952,0.5830115830115831,0.3746031746031746,0.45252765881133783
ABCC1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7253086419753086,0.7319272941970312
ACAA2,0.6944444444444444,0.6018181818181818,0.625,0.6067527308838133,0.6830357142857143,0.45284826649958226
ACN9---Cluster1,0.6111111111111112,0.5267857142857143,0.5208333333333333,0.5153846153846153,0.5208333333333333,0.5067416096448355
ACTG1,0.5555555555555556,0.5324675324675324,0.5324675324675324,0.5324675324675324,0.461038961038961,0.3685853757739033
ACTL6B---Cluster1,0.5,0.4875,0.487012987012987,0.48571428571428565,0.461038961038961,0.5779551434033787
ADAM12---Cluster1,0.6388888888888888,0.5668896321070234,0.5892857142857143,0.5630252100840337,0.6919642857142857,0.5735347985347985
ADSSL1---Cluster1,0.6388888888888888,0.5625,0.5740740740740741,0.5630252100840337,0.6090534979423868,0.4427248677248677
AEBP1---Cluster1,0.7222222222222222,0.5963636363636364,0.6709677419354838,0.5982142857142857,0.6774193548387097,0.2885403050108932
AFF2---Cluster1,0.4166666666666667,0.40625,0.40476190476190477,0.40519276160503537,0.4984126984126984,0.4965681869356321
AGA,0.6388888888888888,0.5109090909090909,0.5166666666666666,0.4994652406417112,0.4833333333333334,0.18332590612002375
AHR---Cluster2,0.3333333333333333,0.34448160535117056,0.35238095238095235,0.3312693498452012,0.3714285714285715,0.4168810076631185
AJAP1---Cluster1,0.5555555555555556,0.5541795665634675,0.5541795665634675,0.5541795665634675,0.3962848297213622,0.4088520758241151
ALOX5AP,0.5833333333333334,0.5941558441558441,0.5897832817337462,0.5804195804195804,0.653250773993808,0.6453725024545458
AMT---Cluster1,0.5277777777777778,0.4309090909090909,0.42692307692307696,0.42857142857142855,0.40384615384615385,0.27819791717348646
ANK3---Cluster1,0.6111111111111112,0.6111111111111112,0.6168831168831169,0.6062500000000001,0.6493506493506493,0.7536118238350281
ANKRD5---Cluster1,0.5277777777777778,0.4583333333333333,0.45636363636363636,0.45696539485359355,0.5527272727272727,0.3623792019319878
ANXA11,0.6666666666666666,0.6836363636363636,0.6563467492260062,0.6493506493506493,0.6640866873065016,0.6695673977754686
ANXA2---Cluster1,0.75,0.611111111111111,0.65,0.6210526315789474,0.8,0.4328282828282828
APCDD1L---Cluster1,0.5833333333333334,0.5811688311688312,0.5773993808049536,0.5751376868607396,0.5975232198142415,0.7016435303606059
APOL6---Cluster1,0.8055555555555556,0.7327272727272727,0.7857142857142857,0.7497517378351539,0.7812500000000001,0.6705762987012986
ARC,0.6388888888888888,0.6381818181818182,0.61875,0.6148148148148148,0.646875,0.6420346350073467
ARHGAP25---Cluster1,0.6388888888888888,0.5876623376623377,0.6111111111111112,0.5847382431233362,0.6213991769547326,0.32985023333599045
ARHGDIB---Cluster1,0.6666666666666666,0.6233766233766234,0.6461538461538461,0.625,0.6499999999999999,0.4527940899680029
ARMCX2,0.6111111111111112,0.6287625418060201,0.6191950464396284,0.60625,0.4024767801857585,0.48007766120468287
ARSD,0.5277777777777778,0.5227272727272727,0.521671826625387,0.5184893784421715,0.5309597523219814,0.5608894775270081
ARSK,0.5277777777777778,0.5092879256965944,0.5166666666666666,0.45696539485359366,0.3944444444444445,0.15270345596432555
ASPHD2---Cluster1,0.4722222222222222,0.5032467532467533,0.5033444816053512,0.47181467181467185,0.540133779264214,0.6461171248068589
ATP1A1,0.5277777777777778,0.5327272727272727,0.5277777777777778,0.5092221331194867,0.46604938271604934,0.5379334819808339
ATP5G3,0.6944444444444444,0.5803571428571428,0.5740740740740741,0.5764705882352941,0.45679012345679015,0.25257318245823995
B3GNT8,0.5555555555555556,0.5375,0.5416666666666667,0.5324675324675325,0.625,0.49615561327878793
BAK1---Cluster1,0.4722222222222222,0.40301003344481606,0.3884615384615384,0.3930789707187223,0.45769230769230773,0.3536036898810754
