,accuracy,precision,recall,f1score,AUC,AP
ABCA6,0.5,0.4724310776942356,0.48026315789473684,0.4487620921462535,0.4539473684210526,0.5671880127058606
ABCC2---Cluster1,0.7682926829268293,0.6486486486486487,0.5735171261487051,0.5788050824547175,0.7685881370091897,0.4655622625236878
ACAP1,0.6341463414634146,0.5328874024526199,0.5198653198653198,0.5040322580645162,0.7063973063973064,0.8349855734250387
ACOT2,0.8292682926829268,0.5907172995780591,0.5239687848383501,0.5152027027027026,0.6722408026755853,0.31475123654579973
ACP5---Cluster1,0.8292682926829268,0.6285714285714286,0.5551839464882944,0.5631659056316591,0.8299888517279822,0.42594838941588165
ACSS1,0.7195121951219512,0.36875,0.48360655737704916,0.41843971631205673,0.6213895394223263,0.35450203142595615
ADCY5---Cluster1,0.7804878048780488,0.4,0.48484848484848486,0.4383561643835617,0.8058712121212122,0.42029824329824195
AJAP1---Cluster1,0.6463414634146342,0.4541666666666667,0.47568165070007373,0.44991903770529723,0.46315401621223284,0.27998245262376736
AKD1---Cluster1,0.6951219512195121,0.6745689655172413,0.6537001897533207,0.6580483736447038,0.7469955724225174,0.6368595282555756
AKR7L---Cluster1,0.47560975609756095,0.43939393939393934,0.44485294117647056,0.43880311952888745,0.4797794117647059,0.6164718508584891
ALDOC---Cluster1,0.7560975609756098,0.3780487804878049,0.5,0.4305555555555556,0.5846774193548387,0.3229526694413808
ALOX5AP,0.7317073170731707,0.6217948717948718,0.5287878787878788,0.4972129319955407,0.6772727272727272,0.8198153005743593
AMBP---Cluster1,0.8170731707317073,0.7774193548387096,0.7535003684598379,0.763597924274457,0.7369196757553427,0.6704505367405356
ANAPC13---Cluster1,0.8292682926829268,0.41975308641975306,0.4927536231884058,0.4533333333333333,0.5239687848383501,0.17036567320822676
ANGPTL1,0.5365853658536586,0.5265700483091788,0.5269607843137255,0.5264437689969604,0.5615808823529411,0.6697561011819608
AOAH,0.8170731707317073,0.41875,0.4855072463768116,0.4496644295302013,0.5797101449275363,0.9085644162738452
APOBEC3C,0.5609756097560976,0.5435992578849722,0.5435992578849722,0.5435992578849722,0.596165739022882,0.6599682369255129
APOH---Cluster1,0.6219512195121951,0.4831223628691983,0.49743589743589745,0.4119824196160074,0.4673076923076923,0.6714215316210796
AQP1---Cluster1,0.9024390243902439,0.7787162162162162,0.7291666666666667,0.7503805175038052,0.8347222222222223,0.4918136040701103
ATRNL1---Cluster2,0.6829268292682927,0.5961538461538461,0.5206043956043956,0.4696517412935324,0.440934065934066,0.3815077803871887
B3GNT3---Cluster1,0.573170731707317,0.4922077922077922,0.49816176470588236,0.4112820512820513,0.5747549019607844,0.4885220287766676
B3GNT8,0.5853658536585366,0.5429864253393666,0.5293753865182437,0.5108771929824562,0.531230674087817,0.43371125417148915
BATF---Cluster1,0.7439024390243902,0.6282051282051282,0.5312256049960968,0.5044604316546762,0.6787665886026542,0.8723236666156118
BDKRB2---Cluster2,0.7317073170731707,0.36585365853658536,0.5,0.4225352112676056,0.6901515151515152,0.5489640998026669
BMP4---Cluster2,0.6951219512195121,0.5571428571428572,0.5158045977011494,0.4763729246487868,0.5057471264367815,0.3033557488542351
BST2---Cluster2,0.6585365853658537,0.6221590909090908,0.5826923076923077,0.5770081061164333,0.6016025641025641,0.7029356480745446
