,cluster_0,cluster_1,cluster_2
cellularity_Median,2.221145285577751,1.1759024892345138,0.0
cellularity_Inter_Quartile_Range,-5.017062739666307,-2.5427135633734705,-1.4094226502760243
cellularity_Robust_Skewness,0.7059833271145042,2.2832642506004643,2.858260173390515
cellularity_Robust_Kurtosis,-1.3238560885641018,-0.1275577515687662,-0.11644851026204749
cell_voronoi_area_Median,-0.7281469300453517,0.0,0.0
cell_voronoi_area_Inter_Quartile_Range,0.0,0.0,0.0
cell_voronoi_area_Robust_Skewness,-1.4339264408399497,0.0,0.0
cell_voronoi_area_Robust_Kurtosis,1.0798889083992949,-0.05459614375127256,0.0
cytoplasm_background_intensity_mean_Median,1.6285787218445402,0.6075216818656514,0.0
cytoplasm_background_intensity_mean_Inter_Quartile_Range,0.0,-0.896291416594105,-1.1083445702803283
cytoplasm_background_intensity_mean_Robust_Skewness,0.6638142485967117,0.32752962247614986,2.7813593230559936
cytoplasm_background_intensity_mean_Robust_Kurtosis,4.875702620815835,2.8670974092721884,1.0910371227727311
cytoplasm_background_intensity_sd_Median,0.0,0.0,0.0
cytoplasm_background_intensity_sd_Inter_Quartile_Range,-4.933649844577985,-3.6530091886243135,-3.676449810816523
cytoplasm_background_intensity_sd_Robust_Skewness,-4.5667043529659725,-4.458869285394179,-6.880281489997481
cytoplasm_background_intensity_sd_Robust_Kurtosis,0.7860354407900743,2.769353881520557,3.365986412059027
cytoplasm_contrast_mean_Median,0.27531423958184287,0.9424690691079932,0.0
cytoplasm_contrast_mean_Inter_Quartile_Range,1.8567569816207767,3.813183747707915,9.137320597816739
cytoplasm_contrast_mean_Robust_Skewness,-2.585780362610738,-2.7421254668815136,-3.019990670637966
cytoplasm_contrast_mean_Robust_Kurtosis,0.3953559667793689,0.49431755676418393,3.296317371486565
cytoplasm_gradient_mean_Median,0.0,0.0,0.0
cytoplasm_gradient_mean_Inter_Quartile_Range,-1.3447614657871536,-1.9897882455844398,-0.8629287350996557
cytoplasm_gradient_mean_Robust_Skewness,-0.3824243122341528,0.0,0.0
cytoplasm_gradient_mean_Robust_Kurtosis,-3.9084325520825263,-5.070481751298424,-4.828844679524768
cytoplasm_gradient_sd_Median,0.0,0.266913459182237,0.0
cytoplasm_gradient_sd_Inter_Quartile_Range,1.718794352516899,1.1508852091752058,0.9291643768366686
cytoplasm_gradient_sd_Robust_Skewness,0.0,-0.7417945299581117,-3.122312651589644
cytoplasm_gradient_sd_Robust_Kurtosis,0.0,0.0,-0.03982708668708026
cytoplasm_intensity_mean_Median,1.7780773963789611,1.5344283276115824,0.1601647728501805
cytoplasm_intensity_mean_Inter_Quartile_Range,0.0,0.0,0.0
cytoplasm_intensity_mean_Robust_Skewness,2.361555561763659,-0.8293015793458756,-0.25449433461872273
cytoplasm_intensity_mean_Robust_Kurtosis,0.0,0.0,1.8086079476362658
cytoplasm_intensity_sd_Median,-0.3627715715065861,0.29814666028648096,1.7957210959555858
cytoplasm_intensity_sd_Inter_Quartile_Range,-0.15644353144171733,0.0,0.0
cytoplasm_intensity_sd_Robust_Skewness,0.0,0.0,0.0
cytoplasm_intensity_sd_Robust_Kurtosis,-2.319064054337983,-3.1759377227894015,-1.6513331073127446
cytoplasm_intensity_total_Median,0.0,0.0,0.0
cytoplasm_intensity_total_Inter_Quartile_Range,0.0,-0.11458401367116985,0.0
cytoplasm_intensity_total_Robust_Skewness,0.6577695995267493,2.2178296483037783,0.6837294545283539
cytoplasm_intensity_total_Robust_Kurtosis,0.41979634256581805,-0.7389882716525054,-1.1851142276279876
edge_length_Median,-0.16755189916733892,-0.42960967143584794,2.114304092082871
edge_length_Inter_Quartile_Range,0.0,-0.2429890811051522,0.0
edge_length_Robust_Skewness,2.439613032706834,0.0,0.0
edge_length_Robust_Kurtosis,2.0581267685519817,0.941697831550739,0.5275222842228218
nucleus_area_Median,0.0,0.0,0.0
nucleus_area_Inter_Quartile_Range,-0.362779239093907,-0.8229797638983236,0.0
nucleus_area_Robust_Skewness,1.9617641500761236,2.0735829899171407,4.762818897958609
nucleus_area_Robust_Kurtosis,0.0,0.7319228675269436,1.5637322416146269
nucleus_aspect_ratio_Median,1.9281291239003397,3.7098529188996388,4.721363118707532
nucleus_aspect_ratio_Inter_Quartile_Range,-0.25616787187342543,0.0,-0.33969202494446943
nucleus_aspect_ratio_Robust_Skewness,0.0,1.7756615609001134,2.702384272523167
nucleus_aspect_ratio_Robust_Kurtosis,1.4448789370346067,3.0312940625002165,5.329003448028294
nucleus_background_intensity_mean_Median,2.4156776838024867,1.299143089088566,0.0
nucleus_background_intensity_mean_Inter_Quartile_Range,-1.193029744745634,0.0,0.0
nucleus_background_intensity_mean_Robust_Skewness,0.0,1.5014253909811976,1.275545759173824
nucleus_background_intensity_mean_Robust_Kurtosis,0.0,0.0,2.027524410360003
nucleus_background_intensity_sd_Median,0.5041107251647389,1.8811668232635133,0.26572926135090735
nucleus_background_intensity_sd_Inter_Quartile_Range,0.0,1.401451574743737,0.0
nucleus_background_intensity_sd_Robust_Skewness,0.0,0.29235353109160067,1.980502497165812
nucleus_background_intensity_sd_Robust_Kurtosis,-2.4484966475124392,-0.9358952458230481,0.4526473667408648
nucleus_bending_energy_s1_mean_Median,0.0,0.0002495614504510503,0.0
nucleus_bending_energy_s1_mean_Inter_Quartile_Range,0.0,0.0,0.0
nucleus_bending_energy_s1_mean_Robust_Skewness,-2.414369119006621,-5.607609886645873,-2.0538258463464274
nucleus_bending_energy_s1_mean_Robust_Kurtosis,6.079183583765755,3.7991212151434386,0.0
nucleus_contrast_mean_Median,0.0,0.0,0.0
nucleus_contrast_mean_Inter_Quartile_Range,0.4294306581324709,0.0,0.9479096478823509
nucleus_contrast_mean_Robust_Skewness,0.7816842646709407,1.1111689441991237,0.0
nucleus_contrast_mean_Robust_Kurtosis,5.483579891257317,1.856386855688427,2.2913680099313427
nucleus_curvature_s1_sd_Median,0.0,0.0,0.0
nucleus_curvature_s1_sd_Inter_Quartile_Range,6.5757935940158605,8.334693125863838,6.698640323200929
nucleus_curvature_s1_sd_Robust_Skewness,-1.302232300969561,-0.6140138335083265,0.0
nucleus_curvature_s1_sd_Robust_Kurtosis,0.0,1.7592638621291103,3.6221813187215677
nucleus_deviation_from_polygon_convexity_Median,0.6038345414743045,0.35938329244724404,0.7493205732294623
nucleus_deviation_from_polygon_convexity_Inter_Quartile_Range,0.7797042104651883,0.5031341550845257,0.7564131740668961
nucleus_gradient_mean_Median,0.0,0.0,0.0
nucleus_gradient_mean_Inter_Quartile_Range,0.0,0.0,0.0
nucleus_gradient_mean_Robust_Skewness,2.3793543557507886,-0.1128656727202324,0.145178477795143
nucleus_gradient_mean_Robust_Kurtosis,-0.16393020168102623,-0.2379793707251929,-0.08367943914577623
nucleus_gradient_sd_Median,0.0,0.5640141684840486,0.0
nucleus_gradient_sd_Inter_Quartile_Range,4.929612139119336,2.508307280866634,2.5076858336435564
nucleus_gradient_sd_Robust_Skewness,-2.550582121918869,0.0,0.0
nucleus_gradient_sd_Robust_Kurtosis,1.7633850621379457,2.6048993079225626,3.626230901612423
nucleus_intensity_mean_Median,1.350912264663501,0.6855800158593801,0.0
nucleus_intensity_mean_Inter_Quartile_Range,0.0,0.0,-0.40966766054834297
nucleus_intensity_mean_Robust_Skewness,3.7073857124223104,2.993657819719325,0.11245018817645551
nucleus_intensity_mean_Robust_Kurtosis,-2.045729321530064,0.0,-1.073832803423271
nucleus_intensity_sd_Median,-1.489467993756124,-0.3986729607038504,0.0
nucleus_intensity_sd_Inter_Quartile_Range,-0.33942224859431636,-0.591490527760584,-2.9081718625935964
