,cluster_0,cluster_1,cluster_2
cellularity_Median,0.005847901847592224,0.0033983384844898244,0.003948446679342005
cellularity_Inter_Quartile_Range,0.0030542365778575657,0.002367764597871932,0.004418523691558035
cellularity_Robust_Skewness,0.0036330187182962628,0.008262540993610025,0.004097398458284586
cellularity_Robust_Kurtosis,0.0016739872414610415,0.004246809653995257,0.0027223378397680425
cell_voronoi_area_Median,0.009204549064658145,0.01209169168563022,0.008018757855193548
cell_voronoi_area_Inter_Quartile_Range,0.0024420438631803055,0.002237013635236749,0.0014843989811202712
cell_voronoi_area_Robust_Skewness,0.0018188998602407624,0.0037524314324635316,0.00624425527317124
cell_voronoi_area_Robust_Kurtosis,0.0022611530109012587,0.0019554227974342355,0.0006190195858115461
cytoplasm_background_intensity_mean_Median,0.0033660012698009177,0.0034781604527837464,0.0032100312160646917
cytoplasm_background_intensity_mean_Inter_Quartile_Range,0.004302693706344724,0.0013706924900694435,0.0033459728176482447
cytoplasm_background_intensity_mean_Robust_Skewness,0.005155957159792489,0.00415921848006394,0.003925031460402998
cytoplasm_background_intensity_mean_Robust_Kurtosis,0.003842859759029662,0.002030096835337904,0.00441350467823124
cytoplasm_background_intensity_sd_Median,0.0028667730775078348,0.005185967873796557,0.007825500558250674
cytoplasm_background_intensity_sd_Inter_Quartile_Range,0.0012750239313678022,0.002723327818101977,0.0014520441966269194
cytoplasm_background_intensity_sd_Robust_Skewness,0.004612962037872425,0.00664097137485764,0.010195805681462904
cytoplasm_background_intensity_sd_Robust_Kurtosis,0.0030603749873022485,0.0021685413591503314,0.0014095149459172238
cytoplasm_contrast_mean_Median,0.000303930105983259,0.0027545138869675993,0.003558057697443234
cytoplasm_contrast_mean_Inter_Quartile_Range,0.00927873908560767,0.010652311448410601,0.02275426944191678
cytoplasm_contrast_mean_Robust_Skewness,0.0007292276630343249,0.0030494265335306763,0.006787372748228565
cytoplasm_contrast_mean_Robust_Kurtosis,0.005665542071684391,0.005895413541041411,0.004426076600650438
cytoplasm_gradient_mean_Median,0.013269559821405092,0.018648928311885145,0.015045610623463967
cytoplasm_gradient_mean_Inter_Quartile_Range,0.004131094636841788,0.0039559639400439765,0.0004388235673127785
cytoplasm_gradient_mean_Robust_Skewness,0.013470838552700199,0.022144747082880688,0.020400884163568556
cytoplasm_gradient_mean_Robust_Kurtosis,0.007580421203294774,0.007658158156796033,0.00550413430358983
cytoplasm_gradient_sd_Median,0.004467085444170858,0.007920816353652868,0.006322461762020135
cytoplasm_gradient_sd_Inter_Quartile_Range,0.007439101073449864,0.0086481220474254,0.011135583394541666
cytoplasm_gradient_sd_Robust_Skewness,0.005474986162571648,0.007347062159514153,0.008266785244626712
cytoplasm_gradient_sd_Robust_Kurtosis,0.0034852341555081314,0.0043896887353650224,0.005191478596214481
cytoplasm_intensity_mean_Median,0.003733044502800488,0.0032811872924714287,0.008774359566225777
cytoplasm_intensity_mean_Inter_Quartile_Range,0.0010055787964719245,0.004095648796838784,0.002887873581649591
cytoplasm_intensity_mean_Robust_Skewness,0.005697735632850931,0.0024435249143051323,0.0037035050464365726
cytoplasm_intensity_mean_Robust_Kurtosis,0.0026311713462750714,0.0018561882197941674,0.0021280779480448483
cytoplasm_intensity_sd_Median,0.00613299604713161,0.007404045653553006,0.006351440753276399
cytoplasm_intensity_sd_Inter_Quartile_Range,0.005748831701645097,0.0034655099981571193,0.007114860346622775
cytoplasm_intensity_sd_Robust_Skewness,0.009857448102295111,0.011713360894589804,0.010151517256476849
cytoplasm_intensity_sd_Robust_Kurtosis,0.0035047688648543753,0.0025289528913114323,0.003297591410437919
cytoplasm_intensity_total_Median,0.006443994169313024,0.007092646333486162,0.0027128037909848425
cytoplasm_intensity_total_Inter_Quartile_Range,0.010417253845905724,0.014198405422045368,0.0062385387263263516
cytoplasm_intensity_total_Robust_Skewness,0.002037548602350673,0.0024791149589825615,0.003944948435187062
cytoplasm_intensity_total_Robust_Kurtosis,0.005307863308722707,0.004253668183205889,0.0031176405589040555
edge_length_Median,0.022722236537685216,0.01764376353812932,0.011571483126575405
edge_length_Inter_Quartile_Range,0.009753505756941887,0.010858092608993092,0.01639790927977813
edge_length_Robust_Skewness,0.0027247351324896844,0.002117155752431383,0.0025942376364325157
edge_length_Robust_Kurtosis,0.002086918234724634,0.0025911369909321007,0.0028947458113212313
nucleus_area_Median,0.003569428064791146,0.0017429524550022753,0.0018217789748486953
nucleus_area_Inter_Quartile_Range,0.001937953981602044,0.0019251815158954856,0.0014855191678041823
nucleus_area_Robust_Skewness,0.007235722348135376,0.005770814109129197,0.006257660463261337
nucleus_area_Robust_Kurtosis,0.0040379337277320505,0.004407854247178907,0.0037612140750367053
nucleus_aspect_ratio_Median,0.052700881355762154,0.05551681286656162,0.03587329451304399
nucleus_aspect_ratio_Inter_Quartile_Range,0.01251214499469691,0.019926168972745486,0.02308639104046178
nucleus_aspect_ratio_Robust_Skewness,0.0049569023467332975,0.01243980768668957,0.006858075513200431
nucleus_aspect_ratio_Robust_Kurtosis,0.017401885422844484,0.01871819782506496,0.021948453588544428
nucleus_background_intensity_mean_Median,0.005095231604155388,0.004355050191481017,0.007529662308706743
nucleus_background_intensity_mean_Inter_Quartile_Range,0.0004953260794942705,0.002639488108307567,0.0019196009404426708
nucleus_background_intensity_mean_Robust_Skewness,0.0022400438586298197,0.0032946007997119646,0.0037655093503004395
nucleus_background_intensity_mean_Robust_Kurtosis,0.002924419756978322,0.002113466239132043,0.0022904417971453114
nucleus_background_intensity_sd_Median,0.004981504401757681,0.004565097653863836,0.0032934516612460386
nucleus_background_intensity_sd_Inter_Quartile_Range,0.007162530462531783,0.009435114288062799,0.013507748673588083
nucleus_background_intensity_sd_Robust_Skewness,0.0029399209623930615,0.0015138106069703093,0.0014954170375484467
nucleus_background_intensity_sd_Robust_Kurtosis,0.003166493481379295,0.0034746984575917666,0.004357489450952372
nucleus_bending_energy_s1_mean_Median,0.0020332287576745912,0.003249528786587989,0.004964872336113177
nucleus_bending_energy_s1_mean_Inter_Quartile_Range,0.003191114439017676,0.002059655286582349,0.002124685339753163
nucleus_bending_energy_s1_mean_Robust_Skewness,0.002735024281910945,0.0038030089463738435,0.0017158940000329198
nucleus_bending_energy_s1_mean_Robust_Kurtosis,0.0061250279148975665,0.005511191363861318,0.00390095651888229
nucleus_contrast_mean_Median,0.003153073337333383,0.002612388256874476,0.0013052262695872447
nucleus_contrast_mean_Inter_Quartile_Range,0.0035092212137853183,0.0023780875008016394,0.005381368162500685
nucleus_contrast_mean_Robust_Skewness,0.0023702402027745723,0.0023750821746987773,0.001466431255799957
nucleus_contrast_mean_Robust_Kurtosis,0.007738239903039802,0.005586553116700097,0.003508046577358344
nucleus_curvature_s1_sd_Median,0.02283768130798506,0.027325829089874465,0.022895982871937254
