,cluster_0,cluster_1,cluster_2
cellularity_Median,0.0,1.2107541564617283,0.9002036491540821
cellularity_Inter_Quartile_Range,0.0,-3.896745946989527,-1.1061466417930397
cellularity_Robust_Skewness,0.0,0.0,1.6119364116454
cellularity_Robust_Kurtosis,-1.0943631853789295,-4.9994243360340285,-1.9414412952792754
cell_voronoi_area_Median,0.0,-0.7011072057895333,-1.2998452168361332
cell_voronoi_area_Inter_Quartile_Range,0.19936091515199095,0.0,0.0
cell_voronoi_area_Robust_Skewness,0.0,0.0,0.0
cell_voronoi_area_Robust_Kurtosis,-1.9864749745902968,-1.2966608599654086,-0.046194985218099435
cytoplasm_background_intensity_mean_Median,0.0,1.3640967203356136,0.0
cytoplasm_background_intensity_mean_Inter_Quartile_Range,-2.09371189626995,0.0,0.0
cytoplasm_background_intensity_mean_Robust_Skewness,0.0,1.1025650021182558,0.0
cytoplasm_background_intensity_mean_Robust_Kurtosis,1.8631570152636174,2.3294778530749327,4.9403348989766664
cytoplasm_background_intensity_sd_Median,0.0,0.0,-1.391854623225106
cytoplasm_background_intensity_sd_Inter_Quartile_Range,-1.9527620033472122,-3.745994013844102,-4.553626318114686
cytoplasm_background_intensity_sd_Robust_Skewness,-4.245423125423803,-4.309039604305206,-3.3744952720300385
cytoplasm_background_intensity_sd_Robust_Kurtosis,-0.26726115492809427,0.008075532540150636,-1.6212116901424805
cytoplasm_contrast_mean_Median,2.226992674031736,0.0,0.0
cytoplasm_contrast_mean_Inter_Quartile_Range,3.652537906471803,0.0,0.0
cytoplasm_contrast_mean_Robust_Skewness,0.0,-2.366418423268096,-7.153905474027667
cytoplasm_contrast_mean_Robust_Kurtosis,2.2226998291067597,1.8701644828481043,0.4702967393921906
cytoplasm_gradient_mean_Median,0.0,0.8940691518890835,0.0
cytoplasm_gradient_mean_Inter_Quartile_Range,0.0,0.0,-3.3988684787446184
cytoplasm_gradient_mean_Robust_Skewness,-5.632574991915026,-7.89356316348642,-7.869414509820393
cytoplasm_gradient_mean_Robust_Kurtosis,-0.7451530377710627,0.0,0.0
cytoplasm_gradient_sd_Median,0.0,0.0,0.0
cytoplasm_gradient_sd_Inter_Quartile_Range,0.6441699894448536,2.662872089595343,2.807571971484331
cytoplasm_gradient_sd_Robust_Skewness,-3.8679035371317543,0.0,-1.5825221718168314
cytoplasm_gradient_sd_Robust_Kurtosis,0.0,-1.2973878381188857,-5.29681902289087
cytoplasm_intensity_mean_Median,1.0327159683118303,1.10044101703737,0.0
cytoplasm_intensity_mean_Inter_Quartile_Range,0.0,0.0,-0.30264317519928735
cytoplasm_intensity_mean_Robust_Skewness,-1.8676328982100825,1.2103892563595484,0.7593280259257215
cytoplasm_intensity_mean_Robust_Kurtosis,0.0,0.0,0.0
cytoplasm_intensity_sd_Median,0.0,0.0,-0.12601167123264026
cytoplasm_intensity_sd_Inter_Quartile_Range,0.0,0.0,0.0
cytoplasm_intensity_sd_Robust_Skewness,2.5771196195196704,2.3247226492521333,0.0
cytoplasm_intensity_sd_Robust_Kurtosis,0.0,-0.8417590338638004,-0.9903623093847413
cytoplasm_intensity_total_Median,0.0,-2.098372179900986,0.0
cytoplasm_intensity_total_Inter_Quartile_Range,0.0,-0.49547959614657505,0.0
cytoplasm_intensity_total_Robust_Skewness,2.5401274754884335,3.0423451011906177,3.6021096423006793
cytoplasm_intensity_total_Robust_Kurtosis,-0.5157284970274516,1.0403846899149232,0.0
edge_length_Median,-1.510166519142008,-2.3779733003103236,-0.7845693093736934
edge_length_Inter_Quartile_Range,-0.8722424869383035,-0.035862872223735826,0.0
edge_length_Robust_Skewness,-2.6697482754928523,1.6845438464525833,0.2547211234492502
edge_length_Robust_Kurtosis,0.0,0.24567678205337748,-0.6811789453872736
nucleus_area_Median,0.0,0.0,0.0
nucleus_area_Inter_Quartile_Range,0.0,-0.040955727023171073,0.0
nucleus_area_Robust_Skewness,0.4973056759050975,0.7842925389821446,-3.3382436255512693
nucleus_area_Robust_Kurtosis,0.6279919310238029,0.0,0.9350046503612043
nucleus_aspect_ratio_Median,6.962929711550519,4.374624952226185,5.716122436887949
nucleus_aspect_ratio_Inter_Quartile_Range,0.0,1.0000901923144516,0.0
nucleus_aspect_ratio_Robust_Skewness,3.1206529424707456,-0.01576954494217267,1.1209296808645364
nucleus_aspect_ratio_Robust_Kurtosis,3.42015380735653,0.0,1.2968830388898591
nucleus_background_intensity_mean_Median,0.0,0.904638336460369,0.4364682124083347
nucleus_background_intensity_mean_Inter_Quartile_Range,0.0,0.004012391363186722,0.0
nucleus_background_intensity_mean_Robust_Skewness,0.0,-0.15542431275083918,-0.8165611176722435
nucleus_background_intensity_mean_Robust_Kurtosis,0.39607285703330036,0.0,0.0
nucleus_background_intensity_sd_Median,0.0,0.0,0.0
nucleus_background_intensity_sd_Inter_Quartile_Range,2.9616029573237737,1.0388759621918038,0.0
nucleus_background_intensity_sd_Robust_Skewness,0.9115230101599321,0.7482925419986544,1.8137044323416633
nucleus_background_intensity_sd_Robust_Kurtosis,0.0,2.667025677260705,-0.7846899472787119
