,cluster_0,cluster_1,cluster_2
cellularity_Median,0.002588284473551637,0.0021085215486760863,0.002935032934360141
cellularity_Inter_Quartile_Range,0.00288667961747712,0.0028698406190908053,0.0026719360041109873
cellularity_Robust_Skewness,0.006462754128359048,0.004523651192839782,0.005100887444732026
cellularity_Robust_Kurtosis,0.005115661287386397,0.0030677353831587493,0.003337866033708909
cell_voronoi_area_Median,0.006474811190017363,0.006037960340844905,0.007265438023443984
cell_voronoi_area_Inter_Quartile_Range,0.0025777498146457188,0.002783076768060664,0.0022756982737411053
cell_voronoi_area_Robust_Skewness,0.002514897409246355,0.002942554807367771,0.003144805763688291
cell_voronoi_area_Robust_Kurtosis,0.002317724689859187,0.0016897289044729993,0.002340794824839792
cytoplasm_background_intensity_mean_Median,0.004750673030335121,0.0021978932634962732,0.003256079422119588
cytoplasm_background_intensity_mean_Inter_Quartile_Range,0.0015192360288169228,0.0014434183461945304,0.0028311589408494503
cytoplasm_background_intensity_mean_Robust_Skewness,0.004308499460692548,0.0017871005318077166,0.00279642066703397
cytoplasm_background_intensity_mean_Robust_Kurtosis,0.00356472040906041,0.004792890791124116,0.004937317237276159
cytoplasm_background_intensity_sd_Median,0.008115184941014719,0.003427512019924549,0.003404403637726766
cytoplasm_background_intensity_sd_Inter_Quartile_Range,0.0015380032484611542,0.002147677557811298,0.002546844580403288
cytoplasm_background_intensity_sd_Robust_Skewness,0.007579191895431971,0.0066370105689899424,0.006721665063202319
cytoplasm_background_intensity_sd_Robust_Kurtosis,0.003406963467207375,0.00308470882193745,0.004587170205394695
cytoplasm_contrast_mean_Median,0.0045333295455909335,0.0032778815954535184,0.004119591561986307
cytoplasm_contrast_mean_Inter_Quartile_Range,0.013792178196823079,0.004486728322943851,0.005752874399286395
cytoplasm_contrast_mean_Robust_Skewness,0.005000415662022948,0.002834438709844,0.004458774486999952
cytoplasm_contrast_mean_Robust_Kurtosis,0.006953251338935693,0.003621597105786909,0.005715903395280245
cytoplasm_gradient_mean_Median,0.016502422260526357,0.006848597259738956,0.00969996489980818
cytoplasm_gradient_mean_Inter_Quartile_Range,0.002552091340435277,0.00274019374773185,0.003194820207024904
cytoplasm_gradient_mean_Robust_Skewness,0.012956139164639908,0.02429231768333298,0.01479547037872852
cytoplasm_gradient_mean_Robust_Kurtosis,0.008926438628919465,0.0074474086408131725,0.009169108454178634
cytoplasm_gradient_sd_Median,0.00861450518168001,0.003834204731638427,0.0033180195858705133
cytoplasm_gradient_sd_Inter_Quartile_Range,0.004696190390871767,0.0036601792385625664,0.0042128941237035405
cytoplasm_gradient_sd_Robust_Skewness,0.006444984831037116,0.004837294735463481,0.005860433346793136
cytoplasm_gradient_sd_Robust_Kurtosis,0.004511365920497531,0.004458895050017502,0.005372399367683757
cytoplasm_intensity_mean_Median,0.005522816526400949,0.0037257588774273136,0.004768390958187472
cytoplasm_intensity_mean_Inter_Quartile_Range,0.0021084292470378175,0.0019345119768094574,0.00244530232372026
cytoplasm_intensity_mean_Robust_Skewness,0.0022734436160389755,0.002784409561723917,0.002802774842206272
cytoplasm_intensity_mean_Robust_Kurtosis,0.002762140361799716,0.001395669488934264,0.003157672644265346
cytoplasm_intensity_sd_Median,0.0088461101642658,0.004927341765787841,0.0036418689274728185
cytoplasm_intensity_sd_Inter_Quartile_Range,0.00221029006529923,0.0024541493434689404,0.002670871343323873
cytoplasm_intensity_sd_Robust_Skewness,0.013397145161211915,0.00875346217908075,0.011643673196668498
cytoplasm_intensity_sd_Robust_Kurtosis,0.0025501731680090942,0.0026059811413908602,0.002568653041100502
cytoplasm_intensity_total_Median,0.006862134880252591,0.008941920334244246,0.0061066257405435
cytoplasm_intensity_total_Inter_Quartile_Range,0.011160641508575713,0.013946521902353525,0.014627433003824233
cytoplasm_intensity_total_Robust_Skewness,0.0025765883360290244,0.0036157681922045996,0.002940570190374476
cytoplasm_intensity_total_Robust_Kurtosis,0.0038578674255046537,0.0024503180284890054,0.0034824969947188263
edge_length_Median,0.006781685395490714,0.005970830406413794,0.010336794935997169
edge_length_Inter_Quartile_Range,0.006025269062598303,0.004688043275817551,0.006658611487149608
edge_length_Robust_Skewness,0.0018919942505499505,0.0008962470450094595,0.002109498780252313
edge_length_Robust_Kurtosis,0.00261255862080559,0.0022831180206488283,0.002557138234087934
nucleus_area_Median,0.0022454632177097665,0.0011769855359224637,0.0020977138084251365
nucleus_area_Inter_Quartile_Range,0.002821641108480671,0.0018256702438091978,0.002916613367042443
nucleus_area_Robust_Skewness,0.008643442202274183,0.00927462521060768,0.015389645470353496
nucleus_area_Robust_Kurtosis,0.008587216985608178,0.006772772220074262,0.005116371782748643
nucleus_aspect_ratio_Median,0.0401346935569659,0.04607932372626467,0.045248649260201945
nucleus_aspect_ratio_Inter_Quartile_Range,0.02132180215569401,0.026413589255328208,0.018638954503771725
nucleus_aspect_ratio_Robust_Skewness,0.00729069024866707,0.010062553371024978,0.004879115959314048
nucleus_aspect_ratio_Robust_Kurtosis,0.01584088781367894,0.013286546236666077,0.01291514291092705
nucleus_background_intensity_mean_Median,0.006188696858292515,0.007160724397428731,0.004347265494868223
nucleus_background_intensity_mean_Inter_Quartile_Range,0.0026313541984641794,0.0008147005501751807,0.0018878686809134892
nucleus_background_intensity_mean_Robust_Skewness,0.002488407227689994,0.002503150046998673,0.0032204222813654116
nucleus_background_intensity_mean_Robust_Kurtosis,0.002565404167439739,0.003389888186587084,0.0021620236896172634
nucleus_background_intensity_sd_Median,0.005338152726128152,0.0050836840376124945,0.002966532166286383
nucleus_background_intensity_sd_Inter_Quartile_Range,0.006322265899389098,0.0024234891293669664,0.003695309555643679
nucleus_background_intensity_sd_Robust_Skewness,0.002180470286031387,0.0023712098690784234,0.0023601408863502082
nucleus_background_intensity_sd_Robust_Kurtosis,0.002861424829754353,0.0002927855277608364,0.0036905217776948543
nucleus_bending_energy_s1_mean_Median,0.0033517388294158675,0.0021570835681276965,0.0028929694540310103
nucleus_bending_energy_s1_mean_Inter_Quartile_Range,0.0034128457098285218,0.005097083376168226,0.002912346914523571
nucleus_bending_energy_s1_mean_Robust_Skewness,0.0036893322609475605,0.004493502555555413,0.0039027700318125186
nucleus_bending_energy_s1_mean_Robust_Kurtosis,0.0057451400533012975,0.0025436464891884438,0.003286855294343367
nucleus_contrast_mean_Median,0.0033390970338358734,0.003426441435153324,0.0030616352911406654
nucleus_contrast_mean_Inter_Quartile_Range,0.004302428731771703,0.0016760470848945072,0.004258478245319638
nucleus_contrast_mean_Robust_Skewness,0.002492958160192933,0.002310095775372856,0.0035628736292002056
nucleus_contrast_mean_Robust_Kurtosis,0.005853198688738164,0.006353177286072724,0.007579161558371965
nucleus_curvature_s1_sd_Median,0.022027689744050765,0.020649499397851455,0.021598600052781674
nucleus_curvature_s1_sd_Inter_Quartile_Range,0.002792330975189082,0.002736711119641038,0.0026025186190717104
nucleus_curvature_s1_sd_Robust_Skewness,0.00558089460744441,0.0024680755686258458,0.0038570094585930205
nucleus_curvature_s1_sd_Robust_Kurtosis,0.00339246908036702,0.005830590931699226,0.006070501735237868
nucleus_deviation_from_polygon_convexity_Median,0.0,0.0,0.0
nucleus_deviation_from_polygon_convexity_Inter_Quartile_Range,0.0,0.0,0.0
nucleus_gradient_mean_Median,0.002605635047883932,0.006203190121109671,0.003717778296528064
nucleus_gradient_mean_Inter_Quartile_Range,0.003390927128228605,0.0026881659484084665,0.005060871976851573
nucleus_gradient_mean_Robust_Skewness,0.01044413037219736,0.013022982054468248,0.009590383251763302
nucleus_gradient_mean_Robust_Kurtosis,0.0020373059581489114,0.0021585329512666253,0.0026571977193918382
nucleus_gradient_sd_Median,0.007502329046287325,0.003044947025389964,0.0036932655174705736
nucleus_gradient_sd_Inter_Quartile_Range,0.004320257734151794,0.0035499998931051253,0.0023325565980501983
nucleus_gradient_sd_Robust_Skewness,0.004058911782255701,0.001742190637928877,0.0025524741633905145
