,accuracy,precision,recall,f1score,AUC,AP
ABCA5---Cluster1,0.8255813953488372,0.5591630591630592,0.5539473684210526,0.5562435500515996,0.6986842105263159,0.952620724149464
ABCC1,0.8023255813953488,0.6503267973856209,0.6938883034773445,0.6655227636696408,0.7650158061116965,0.9481116772771077
ABCC3---Cluster2,0.5348837209302325,0.4911377930245855,0.49026993094789706,0.48809523809523814,0.5373509102322661,0.32359801551238426
ABHD8---Cluster1,0.7093023255813954,0.6969448990725586,0.7148809523809523,0.697481356409174,0.7577380952380953,0.8350024449231572
ACAA2,0.6744186046511628,0.6447876447876448,0.681159420289855,0.6416666666666666,0.6487232574189096,0.8478259246123733
ACADS---Cluster1,0.7674418604651163,0.7560307017543859,0.7702546296296297,0.7591036414565826,0.8408564814814815,0.8825318716958519
ACN9---Cluster1,0.5581395348837209,0.5208333333333333,0.5214285714285715,0.5208211143695015,0.5380952380952381,0.42828107627104817
ACTC1---Cluster1,0.7558139534883721,0.7389937106918238,0.7418981481481481,0.7403306973400432,0.8171296296296295,0.8721883860854436
ACTG1,0.6627906976744186,0.5380327868852459,0.5517857142857143,0.5356544405138708,0.5732142857142858,0.8756005498819422
ACTL6B---Cluster1,0.686046511627907,0.5898360655737704,0.6037878787878788,0.5937007874015748,0.6954545454545454,0.36843854314827906
ADAM12---Cluster1,0.7674418604651163,0.7455555555555555,0.7721674876847291,0.7511574074074074,0.7647783251231527,0.8285438565859927
ADAM33---Cluster1,0.6744186046511628,0.6606655755591926,0.6781609195402298,0.6595022624434388,0.7707199032062916,0.8694689547164356
ADPRH,0.7558139534883721,0.7319004524886878,0.7480338777979432,0.7370030581039756,0.8632788868723533,0.9314746134991904
ADSSL1---Cluster1,0.6162790697674418,0.5965630114566285,0.6189516129032258,0.5867190913062472,0.6384408602150538,0.8159458089302949
AEBP1---Cluster1,0.5465116279069767,0.5458265139116203,0.5454545454545454,0.544973544973545,0.5378787878787878,0.5593697788078485
AFF2---Cluster1,0.7093023255813954,0.5940860215053764,0.6193520886615516,0.5997021038912679,0.6325660699062233,0.33939435114507377
AGA,0.5465116279069767,0.5806174957118353,0.5815972222222222,0.5464503042596349,0.5729166666666667,0.6859221905092047
AGBL2,0.7209302325581395,0.7141298417894163,0.7198879551820728,0.7153888582460011,0.7599439775910365,0.7840121675058092
AHR---Cluster2,0.627906976744186,0.5044871794871795,0.50625,0.495970695970696,0.5321428571428571,0.8541198165313875
AJAP1---Cluster1,0.6744186046511628,0.5707384403036577,0.575091575091575,0.5724431818181819,0.6256410256410256,0.4155810624743182
AK3L1---Cluster1,0.7674418604651163,0.746606334841629,0.7595238095238095,0.7511574074074074,0.8386904761904762,0.8998077159064035
ALDH1A3---Cluster2,0.686046511627907,0.6721491228070176,0.6841642228739002,0.6732798649219081,0.7214076246334311,0.8214446274682216
ALDH3B1---Cluster1,0.5930232558139535,0.5012820512820513,0.5013802622498275,0.5005807200929152,0.49551414768806074,0.30290155854784984
ALDH7A1,0.6627906976744186,0.6627906976744187,0.6702488687782806,0.6590567327409433,0.7262443438914027,0.7942205239583062
ALOX5AP,0.8023255813953488,0.6407657657657658,0.6173708920187794,0.6265644955300128,0.6976525821596244,0.9145600851356275
AMICA1---Cluster1,0.5930232558139535,0.5946969696969697,0.5965250965250966,0.5916429249762583,0.5929398786541644,0.5053820732923465
AMIGO2,0.6976744186046512,0.6864130434782609,0.7112068965517242,0.6838235294117647,0.730295566502463,0.8677659641328223
AMT---Cluster1,0.4883720930232558,0.47039473684210525,0.46785714285714286,0.4649321266968326,0.4720238095238095,0.7054162039046834
ANGPT1---Cluster2,0.7093023255813954,0.6451612903225806,0.6416393442622951,0.6432719429235108,0.6832786885245902,0.461526746653436
ANK3---Cluster1,0.6511627906976745,0.5665322580645161,0.5665322580645161,0.5665322580645161,0.676747311827957,0.4695126107267791
ANKRD35---Cluster1,0.6511627906976745,0.6476190476190475,0.6437534097108566,0.6442360728075014,0.6483906164757229,0.6378533261982354
ANKRD45---Cluster1,0.7093023255813954,0.5873239436619718,0.5660511363636364,0.5695695695695695,0.5838068181818181,0.4015912041952964
ANKRD5---Cluster1,0.6511627906976745,0.6076388888888888,0.6192307692307693,0.6098003629764065,0.6224358974358974,0.7851862861858689
ANKRD9---Cluster2,0.6976744186046512,0.6884888161483906,0.6975414522584333,0.6894444444444445,0.7890222984562607,0.8562914383191117
ANUBL1,0.6511627906976745,0.6511627906976745,0.6639296187683285,0.6442360728075014,0.7290322580645161,0.8389136594719485
ANXA11,0.813953488372093,0.5777027027027026,0.5907894736842105,0.583030303030303,0.7052631578947368,0.9452121182239842
ANXA2---Cluster1,0.7209302325581395,0.6822660098522167,0.6822660098522167,0.6822660098522167,0.7967980295566501,0.8999530704747043
AOX1---Cluster1,0.5813953488372093,0.5583333333333333,0.5625,0.5574614065180103,0.6642857142857144,0.7998277061133704
APCDD1L---Cluster1,0.5697674418604651,0.4839285714285715,0.47879025923016494,0.4720424755267961,0.5082482325216024,0.8221714877914038
APITD1---Cluster1,0.6744186046511628,0.6209677419354839,0.6108374384236454,0.6141025641025641,0.6145320197044335,0.5504290080511949
APOBEC3C,0.5697674418604651,0.5668478260869565,0.5671031096563011,0.5668980536273309,0.6254773595199127,0.6186487645567497
