,accuracy,precision,recall,f1score,AUC,AP
ABCA5---Cluster1,0.5697674418604651,0.5552845528455285,0.5910714285714286,0.5145690312738367,0.6245535714285715,0.8614861630707455
ABCC1,0.6627906976744186,0.643480632842335,0.676747311827957,0.6368137469054901,0.676747311827957,0.850931225802426
ABCC3---Cluster2,0.6046511627906976,0.5559954751131222,0.5703125,0.5498768472906403,0.6218039772727273,0.38886866460122926
ABHD8---Cluster1,0.5813953488372093,0.5797021511307225,0.578319783197832,0.5777414075286416,0.6753387533875339,0.6745352911068572
ACAA2,0.6162790697674418,0.6168831168831169,0.6170731707317073,0.6162271805273833,0.6775067750677507,0.678255395246935
ACADS---Cluster1,0.5930232558139535,0.5877777777777777,0.5861974904528096,0.586254295532646,0.6857610474631751,0.6257003700638537
ACN9---Cluster1,0.5465116279069767,0.5223835450695704,0.5205555555555555,0.5177570093457944,0.55,0.4980458361848591
ACTC1---Cluster1,0.627906976744186,0.6260869565217391,0.6260869565217391,0.6260869565217391,0.6994565217391304,0.620813354560372
ACTG1,0.627906976744186,0.613747954173486,0.6261343012704175,0.6108597285067874,0.6594071385359951,0.7575372977204182
ACTL6B---Cluster1,0.5930232558139535,0.5930232558139535,0.6059113300492611,0.5802538000278902,0.6336206896551724,0.43423173810771654
ADAM12---Cluster1,0.5930232558139535,0.5970394736842105,0.5959349593495935,0.5925274130228779,0.6699186991869919,0.6754459389863575
ADAM33---Cluster1,0.5697674418604651,0.5694980694980695,0.5681818181818181,0.5668980536273308,0.6772186147186148,0.6510574160141792
ADPRH,0.5930232558139535,0.5905619203491543,0.5902173913043478,0.5903089696474751,0.6804347826086956,0.630243220978987
ADSSL1---Cluster1,0.5813953488372093,0.5811403508771931,0.5800865800865801,0.5793478260869567,0.6523268398268398,0.6352780497327533
AEBP1---Cluster1,0.4883720930232558,0.4610644257703081,0.4592375366568915,0.4591194968553459,0.49208211143695013,0.359197199933553
AFF2---Cluster1,0.6395348837209303,0.6019607843137256,0.6223118279569892,0.6001199940002999,0.6848118279569892,0.44051129081793144
