,accuracy,precision,recall,f1score,AUC,AP
ABCA5---Cluster1,0.7674418604651163,0.6568181818181819,0.6691176470588236,0.6622152395915162,0.7606209150326798,0.9278309463004808
ABCC1,0.8023255813953488,0.7318181818181818,0.7241758241758242,0.7277974306460622,0.8153846153846154,0.9272626730544764
ABCC3---Cluster2,0.7093023255813954,0.6534426229508197,0.65,0.6515961756603468,0.7410256410256411,0.5251797884159286
ABHD8---Cluster1,0.7790697674418605,0.7862658576944291,0.7808441558441559,0.7783204449871117,0.8647186147186147,0.8469372392548793
ACAA2,0.7209302325581395,0.715406162464986,0.7120794263651407,0.7133333333333334,0.8014340871483729,0.8608944089999442
ACADS---Cluster1,0.8023255813953488,0.8082378614293508,0.8070652173913043,0.8022988505747126,0.8864130434782609,0.8518389497703087
ACN9---Cluster1,0.5,0.4472140762463343,0.4445812807881773,0.44532773361331934,0.40825123152709364,0.3458856848506759
ACTC1---Cluster1,0.813953488372093,0.8210583742498636,0.8210583742498636,0.813953488372093,0.9034369885433715,0.8494170721570984
ACTG1,0.686046511627907,0.6548295454545454,0.6278592375366568,0.631837640716664,0.7343108504398828,0.8318714717345711
ACTL6B---Cluster1,0.6976744186046512,0.6556245686680469,0.6364186327888688,0.6416666666666666,0.7719298245614035,0.6185166356166168
ADAM12---Cluster1,0.7441860465116279,0.741304347826087,0.743421052631579,0.7419530823786143,0.7785087719298246,0.8115062178807134
ADAM33---Cluster1,0.7906976744186046,0.7911255411255411,0.7911255411255411,0.7906976744186046,0.8430735930735931,0.7931729445777125
ADPRH,0.8372093023255814,0.8396739130434783,0.8382034632034632,0.8371212121212122,0.8917748917748918,0.8629840500528396
ADSSL1---Cluster1,0.6976744186046512,0.7073313782991202,0.6915989159891599,0.6894444444444445,0.7669376693766938,0.8138005579577872
AEBP1---Cluster1,0.5930232558139535,0.5919913419913421,0.5927441352973268,0.5916429249762584,0.6126568466993999,0.5794074522373204
AFF2---Cluster1,0.686046511627907,0.5732394366197183,0.5524193548387097,0.5523423944476575,0.70497311827957,0.417967582132622
AGA,0.7093023255813954,0.711111111111111,0.7059620596205962,0.7060833902939165,0.7214092140921409,0.6940739235860269
AGBL2,0.7906976744186046,0.7929347826086957,0.7916666666666667,0.7905844155844155,0.8403679653679653,0.8341686959979767
AHR---Cluster2,0.6976744186046512,0.6564364876385337,0.6110102843315184,0.6142167011732229,0.6200846944948579,0.7583754640972336
AJAP1---Cluster1,0.6976744186046512,0.5690200210748156,0.5452035886818496,0.5433006535947712,0.6487232574189096,0.40809946561663835
AK3L1---Cluster1,0.8372093023255814,0.8396739130434783,0.8382034632034632,0.8371212121212122,0.8847402597402597,0.8565979489363109
ALDH1A3---Cluster2,0.7209302325581395,0.7285067873303167,0.7186147186147187,0.7171052631578948,0.7938311688311688,0.8140832622019071
ALDH3B1---Cluster1,0.7209302325581395,0.5744047619047619,0.5568181818181819,0.5601023017902813,0.7053030303030303,0.40567171384550793
ALDH7A1,0.7209302325581395,0.7218614718614718,0.7228260869565217,0.7207792207792207,0.7771739130434783,0.7288922039336615
ALOX5AP,0.7906976744186046,0.7267857142857144,0.6803977272727273,0.6959937156323645,0.8125,0.9287836930545554
AMICA1---Cluster1,0.7558139534883721,0.7438625204582652,0.7660714285714285,0.7458843393837061,0.8053571428571429,0.6134871163998205
AMIGO2,0.7790697674418605,0.7782324058919804,0.7771739130434783,0.7775962978086295,0.825,0.8249314156243189
AMT---Cluster1,0.5465116279069767,0.5477777777777778,0.5465116279069767,0.5434871376071866,0.5700378583017848,0.5796485601853674
ANGPT1---Cluster2,0.7325581395348837,0.6062091503267973,0.6021209740769835,0.604004004004004,0.6928515318146111,0.40130278801327834
ANK3---Cluster1,0.6627906976744186,0.6384615384615384,0.6234991423670669,0.6259187040647967,0.7158376214979987,0.62224012880206
ANKRD35---Cluster1,0.686046511627907,0.6980143408714837,0.6968201754385965,0.6860040567951319,0.8086622807017544,0.7991337968757072
ANKRD45---Cluster1,0.7441860465116279,0.5882936507936508,0.5727124183006536,0.5776785714285715,0.6062091503267973,0.33502983515219065
ANKRD5---Cluster1,0.5348837209302325,0.528957528957529,0.5286415711947627,0.5285087719298246,0.5613747954173486,0.6548092920295975
ANKRD9---Cluster2,0.8023255813953488,0.8035714285714286,0.8060556464811783,0.802084743468255,0.8734315330060011,0.8332346825487459
ANUBL1,0.7558139534883721,0.765857694429123,0.7619565217391304,0.7555164478137268,0.8521739130434782,0.8530607917956787
ANXA11,0.7093023255813954,0.5915032679738562,0.5820512820512821,0.5855022170811645,0.7406593406593407,0.904501582860969
ANXA2---Cluster1,0.7906976744186046,0.7921568627450981,0.784506273867976,0.7865416436845009,0.8728859792689581,0.8805143395721616
AOX1---Cluster1,0.627906976744186,0.6369747899159663,0.6325203252032521,0.6260869565217391,0.7636856368563686,0.780027013096278
APCDD1L---Cluster1,0.6162790697674418,0.5086410054988217,0.507051282051282,0.5034120734908137,0.5788461538461538,0.7545638331744513
APITD1---Cluster1,0.6744186046511628,0.5814102564102563,0.5962121212121212,0.5845410628019323,0.6909090909090909,0.47622511042128207
APOBEC3C,0.7209302325581395,0.7081447963800905,0.7081447963800905,0.7081447963800905,0.8602941176470589,0.7529420670527293
APOC2---Cluster1,0.7441860465116279,0.7379385964912281,0.741111111111111,0.7391064533921676,0.8216666666666665,0.7326337503217476
