,accuracy,precision,recall,f1score,AUC,AP
ABCA5---Cluster1,0.7209302325581395,0.5341365461847389,0.5058661145617668,0.45626975763962063,0.8143547273982056,0.9300890603216148
ABCC1,0.8372093023255814,0.7903030303030303,0.6881382560879812,0.7173708920187793,0.8452474469756481,0.9434886658086105
ABCC3---Cluster2,0.7558139534883721,0.7048484848484848,0.6135752688172043,0.6233576642335766,0.707997311827957,0.5207660465767777
ABHD8---Cluster1,0.8255813953488372,0.8252164502164503,0.8257452574525745,0.825368891295519,0.9219512195121952,0.9303996998562487
ACAA2,0.8255813953488372,0.8260504201680672,0.819078947368421,0.8215026982150271,0.8799342105263158,0.9228422788491578
ACADS---Cluster1,0.8837209302325582,0.8845528455284553,0.8837209302325582,0.8836580086580086,0.9415900486749594,0.943617226720735
ACN9---Cluster1,0.5581395348837209,0.2926829268292683,0.46153846153846156,0.35820895522388063,0.47002262443438914,0.37036707337875274
ACTC1---Cluster1,0.8372093023255814,0.8365800865800865,0.8380434782608696,0.8368563685636856,0.9190217391304347,0.9339219950433579
ACTG1,0.7674418604651163,0.7252252252252251,0.6344086021505376,0.6486928104575163,0.7755376344086021,0.8977420576195885
ACTL6B---Cluster1,0.8023255813953488,0.788150042625746,0.7166666666666667,0.7364341085271318,0.841025641025641,0.6740508553035935
ADAM12---Cluster1,0.7790697674418605,0.7711111111111111,0.773389355742297,0.7721377771579974,0.8327731092436975,0.868505963896871
ADAM33---Cluster1,0.872093023255814,0.8744517543859649,0.8701897018970189,0.8712399618892064,0.9176151761517615,0.93587159013778
ADPRH,0.8255813953488372,0.8273322422258592,0.8246753246753247,0.8249898249898249,0.9155844155844156,0.9175066896930132
ADSSL1---Cluster1,0.7674418604651163,0.7655803316180675,0.7562051847766134,0.7591036414565826,0.8532818532818531,0.9014776705819912
AEBP1---Cluster1,0.6627906976744186,0.6578044596912521,0.6513157894736843,0.6522102914516804,0.71875,0.672756176330532
AFF2---Cluster1,0.7558139534883721,0.38235294117647056,0.49242424242424243,0.4304635761589404,0.5768939393939394,0.28330122346626246
AGA,0.7209302325581395,0.722007722007722,0.7181571815718157,0.718494271685761,0.7994579945799458,0.8250565456596962
AGBL2,0.7558139534883721,0.7564935064935066,0.756910569105691,0.7557809330628803,0.8639566395663957,0.886086462641266
