,accuracy,precision,recall,f1score,AUC,AP
ABCA5---Cluster1,0.6976744186046512,0.6214285714285714,0.5871794871794872,0.5904761904761905,0.7365384615384616,0.8389389038982189
ABCC1,0.7906976744186046,0.7526881720430108,0.7410256410256411,0.7462295081967213,0.8025641025641026,0.8799276628057696
ABCC3---Cluster2,0.6046511627906976,0.508736559139785,0.508736559139785,0.508736559139785,0.5403225806451613,0.3279467871164168
ABHD8---Cluster1,0.6511627906976745,0.6503000545553737,0.6493224932249322,0.6494565217391304,0.7745257452574525,0.7695109168176897
ACAA2,0.6395348837209303,0.6307225592939878,0.6316666666666667,0.6311055763110558,0.7277777777777777,0.791165949751074
ACADS---Cluster1,0.7906976744186046,0.7911255411255411,0.7911255411255411,0.7906976744186046,0.8858225108225108,0.8527030213269804
ACN9---Cluster1,0.46511627906976744,0.4406108597285068,0.4406108597285068,0.4406108597285068,0.44004524886877827,0.35448590884479825
ACTC1---Cluster1,0.7906976744186046,0.7905844155844155,0.7905844155844155,0.7905844155844156,0.8452380952380952,0.8310322426227523
ACTG1,0.6976744186046512,0.6498655913978495,0.6373152709359606,0.6416666666666666,0.6915024630541873,0.7911080743500529
ACTL6B---Cluster1,0.6627906976744186,0.5852459016393443,0.5873655913978495,0.5861954537912727,0.6179435483870968,0.37510228820324293
ADAM12---Cluster1,0.6744186046511628,0.6680351906158357,0.6580253723110866,0.6595022624434389,0.7357970215113072,0.7954489469502528
ADAM33---Cluster1,0.7093023255813954,0.708130081300813,0.708695652173913,0.7083163749830417,0.7717391304347826,0.7866710267348916
ADPRH,0.7790697674418605,0.778804347826087,0.7780487804878049,0.7783204449871117,0.835230352303523,0.8453411240742765
ADSSL1---Cluster1,0.6627906976744186,0.6555555555555556,0.6544401544401545,0.6549052165490522,0.6651958080529509,0.7193076067722792
AEBP1---Cluster1,0.5465116279069767,0.5424710424710424,0.5418478260869566,0.5414900888585099,0.5141304347826087,0.5193888714738883
AFF2---Cluster1,0.7209302325581395,0.6162870945479642,0.6323644933228594,0.6219780219780219,0.6865671641791046,0.39590419935171306
AGA,0.6744186046511628,0.6798642533936652,0.672077922077922,0.6699561403508771,0.6677489177489178,0.6695687729966857
AGBL2,0.6511627906976745,0.6524822695035462,0.6511627906976745,0.6504065040650406,0.72065981611682,0.6567637458640083
AHR---Cluster2,0.686046511627907,0.4943661971830986,0.49509803921568624,0.49378678875081744,0.4281045751633987,0.7520806731452303
AJAP1---Cluster1,0.686046511627907,0.6004394224733207,0.6212121212121212,0.6047659574468085,0.6287878787878788,0.2979297413356007
AK3L1---Cluster1,0.7209302325581395,0.725328947368421,0.7224025974025974,0.7203252032520325,0.7846320346320346,0.7352822294534896
ALDH1A3---Cluster2,0.6395348837209303,0.6433333333333333,0.6395348837209303,0.6371308016877637,0.6679286100594917,0.681360485679376
ALDH3B1---Cluster1,0.6627906976744186,0.5766045548654244,0.5745967741935484,0.5754893617021277,0.5705645161290323,0.33760745260649616
ALDH7A1,0.686046511627907,0.6880758807588077,0.6885869565217391,0.6860040567951319,0.7652173913043478,0.7561388572217621
